URL,Price,State,District,City,Type,Bedrooms,Bathrooms,Furnishing,Status,Listed by,Builtup Area,Carpet Area,Total Floors,Floor No,Car Parking,Maintenance,Facing,Project Name,Description,AD ID
https://www.olx.in/item/ready-possessionwell-furnished-single-bhk-apartment-for-sell-iid-1513190900," 21,00,000",Maharashtra,Paratwada,Vidarbha Housing Board Colony,Apartments,1,2,Furnished,New Launch,Owner,650,600,4,1,3+,300,South-East,Sukhkarta Tower,PARATWADA AMRAVATI,1513190900
https://www.olx.in/item/semi-furnished-bungalow-for-sale-iid-1502072050," 50,00,000",Maharashtra,Paratwada,Harde Nagar,Houses & Villas,4,2,Semi-Furnished,Ready to Move,Owner,2000,1800,2,-,1,-,North,-,Semi furnished Bungalow for sale near Siddharth High school Vinayak Nagar Paratwada  Having bore well  With mezzanine floor,1502072050
https://www.olx.in/item/ready-possessionwell-furnished-single-bhk-apartment-for-sell-iid-1513190900," 21,00,000",Maharashtra,Paratwada,Vidarbha Housing Board Colony,Apartments,1,2,Furnished,New Launch,Owner,650,600,4,1,3+,300,South-East,Sukhkarta Tower,PARATWADA AMRAVATI,1513190900
https://www.olx.in/item/semi-furnished-bungalow-for-sale-iid-1502072050," 50,00,000",Maharashtra,Paratwada,Harde Nagar,Houses & Villas,4,2,Semi-Furnished,Ready to Move,Owner,2000,1800,2,-,1,-,North,-,Semi furnished Bungalow for sale near Siddharth High school Vinayak Nagar Paratwada  Having bore well  With mezzanine floor,1502072050
https://www.olx.in/item/2-bhk-flats-iid-1517903429," 16,00,000",Maharashtra,Chandrapur MIDC,MIDC Staff Colony,Apartments,2,2,Semi-Furnished,Under Construction,Builder,850,650,2,2,1,0,North,Shree Ganesh Residency,Booking Amount just rs 21000 only  Under RERA Registration  No GST Tax  100 % Loan Facility  and get Benfit of PRADHAN MANTRI AWAS YOJNA upto 2.67 lakh only  contact--- 9 FIVE 5 TWO 5 ONE 2 ONE 4 ONE,1517903429
https://www.olx.in/item/front-open-space-flat-iid-1517075080," 30,00,000",Maharashtra,Chandrapur,Wadgaon,Apartments,2,2,Semi-Furnished,Ready to Move,Owner,406,325,3,3,3+,1000,North-West,"Flat No. T2, Riddhi Apartment near CBC mall Nagpur road Chandrapur",Luxary Flat for sale with lift and open space infront,1517075080
https://www.olx.in/item/happy-family-house-iid-1516752124," 26,00,000",Maharashtra,Chandrapur MIDC,MIDC Staff Colony,Houses & Villas,2,3,Furnished,Under Construction,Owner,1617,1500,00,00,1,00,East,Baghel construction,100 % loan facility Avaible  No GST we have to pay   You will get all work done by us   And for more information call us frankly  And ask it   Contact no. 8830762084,1516752124
https://www.olx.in/item/2-bhk-flats-iid-1516003215," 21,00,000",Maharashtra,Chandrapur,Wadgaon,Apartments,2,2,Semi-Furnished,Ready to Move,Builder,1060,900,4,4,1,0,West,Shree Ganesh Nagari,Ready To move Flats  100% Loan Facility   Lift avilable  Get benifit of Pradhan mantri Awas Yojna Upto 2.67 lakh  contact 9 FIVE 5 TWO 5 ONE 2 ONE 4 ONE,1516003215
https://www.olx.in/item/flats-and-bungalows-in-township-project-extends-beyond-sqft-iid-1515972552," 18,90,000",Maharashtra,Padoli,Padoli Chowk,Apartments,2,2,Semi-Furnished,Under Construction,Builder,1150,920,2,1,1,100000,East,Royal Ambience,"Luxury flats, bungalows, fresh  environment, with full of amenities. Necessities of modern living and classic lifestyle.",1515972552
https://www.olx.in/item/flat-for-sale-all-room-are-specious-iid-1515455137," 28,00,000",Maharashtra,Chandrapur,Wadgaon,Apartments,2,2,Semi-Furnished,Ready to Move,Owner,900,800,3,1,3+,5,East,Vasant vila,"Flat at first floor  , corner flat ,two sides  road  flat no.F2 ON FIRST FLOOR behind cbc mall",1515455137
https://www.olx.in/item/mhada-colny-iid-1515223014," 26,00,000",Maharashtra,Chandrapur,Wadgaon,Houses & Villas,2,2,Semi-Furnished,Ready to Move,Owner,1100,1000,0,0,1,0,North-East,Mhada colony,plot No 51...Mhada colony ...Renaissance college..contact number eight two zero eight four six eleven eleven nine zero,1515223014
https://www.olx.in/item/1-bhk-in-a-nice-and-peaceful-locality-iid-1515048776," 12,50,000",Maharashtra,Chandrapur,Wadgaon,Apartments,1,1,Unfurnished,Ready to Move,Owner,600,500,2,2,1,250,North-West,Dhanshree,I want to sell my 1 bhk located in wadgaon near Gajanan mandir opp to big bazaar. Bank loan possible. Property is about 14 yrs old.Both nagarpalika and boring water available.Very peaceful and decent location with a small garden near complex. Price negotiable for serious buyers.,1515048776
https://www.olx.in/item/dsk-home-township-iid-1514308815," 22,71,000",Maharashtra,Chandrapur,Wadgawa,Apartments,2,2,Furnished,Under Construction,Dealer,1140,940,3,-,1,-,East,Dsk  home,All room pop and well furniture with intercom facilities and Jaguar fitting with alternate(2 terrace) lift facility (none) with full amenities,1514308815
https://www.olx.in/item/mustfa-colony-near-akashwani-iid-1514229646," 18,50,000",Maharashtra,Chandrapur,Jagannath Baba Nagar,Apartments,2,2,Furnished,New Launch,Owner,1200,900,1,3,2,200,South,Mustfa Colony,Well furnished 3rd floor 2009 countruction,1514229646
https://www.olx.in/item/good-condition-home-iid-1513879514," 12,00,000",Maharashtra,Chandrapur MIDC,MIDC Staff Colony,Houses & Villas,1,1,Semi-Furnished,Ready to Move,Owner,1000,1000,1,-,1,-,East,"Home Address :- Mhada Colony Qtr No. LA.52 Dalada Road, Chandrapur",Ready To Move Aurangabad,1513879514
https://www.olx.in/item/flat-for-sell-in-padoli-iid-1513613389," 18,00,000",Maharashtra,Padoli,Padoli Chowk,Apartments,2,2,Semi-Furnished,Ready to Move,Owner,850,850,3,2,1,00,North-West,-,Flat for sell Very urgent,1513613389
https://www.olx.in/item/2-bhk-flats-iid-1513557792," 16,00,000",Maharashtra,Chandrapur MIDC,MIDC Staff Colony,Apartments,2,2,Semi-Furnished,Under Construction,Builder,850,650,2,2,1,0,North-East,Shree Ganesh Resdency,Book your Home  Price Start From 16.00 lakh Onwards  100% Loan Facility  Pradhan Mantri Awas Yojna upto 2.67 Lakh   Contact - 9 FIVE 5 TWO 5 ONE 2 ONE 4 ONE,1513557792
