URL,Price,State,District,City,Type,Bedrooms,Bathrooms,Furnishing,Status,Listed by,Builtup Area,Carpet Area,Total Floors,Floor No,Car Parking,Maintenance,Facing,Project Name,Description,AD ID
https://www.olx.in/item/3-bhk-builders-floor-with-80-loan-facility-iid-1516864672," 37,11,000",Delhi,Delhi,Uttam Nagar,Builder Floors,3,2,Semi-Furnished,Ready to Move,Builder,800,750,4,1,1,0,North,partap builders,"1. There Three  bed room with wide balcony.  2. Drawing room with fall ceiling & Texture Paint  3. Modern and modular kitchen with chimney and other  attachments.  4. one bath room with tile work upto roof height and branded  fittings.  5. Car parking and lift available.  6. Wall to wall pop , texture paint & tiles work on front elevation.  7. Vitrified tiles flooring, Kalinga wire, Branded  electrical fittings.  8. Separate electric and water connections with appropriate  supply.  9. Building structure according to height with branded fittings  and attachment .  10. Loan facility also avaialble in this building from  (IIFL /DHFL /INDIABULS)  11. Easy approach to public transport and market.  12.Camera,TFT,intercom and electronic door lock facility",1516864672
https://www.olx.in/item/2bhk-for-sale-in-uttam-nagar-iid-1516861570," 24,00,000",Delhi,Delhi,Mansa Ram Park,Apartments,2,2,Semi-Furnished,New Launch,Builder,580,540,4,-,1,0,West,ROYAL HOME BUILDERS,"2 bhk, 2 bedrooms, 1 hall, 1 washroom, one wall texture, modular kitchen, Elmira, flooring,CAR parking, intercom, cctv, electricity power back up, water connection, school, metro, hospital, shopping malls, nearby, 80% loan facility available.  kindly leave your contact number",1516861570
https://www.olx.in/item/1-bhk-ready-to-move-flat-sale-in-rama-park-near-by-dwarka-mor-metro-iid-1514367217," 15,00,000",Delhi,Delhi,Dwarka Mor,Builder Floors,1,1,Furnished,Ready to Move,Builder,450,440,4,1,1,200,East,Goyal Builders Floor,"In Just Rs. 18 LAC Huge Two Bedroom Floor in ..  Less than a 2 minute walking from Dwarka mod metro station  1 bathroom with tile work up to roof height,...  Branded fittings and attachments,  Front elevation with granite and dholpur stone   Texture paint in all rooms,   Wall to wall pop work,  Separate electricity meter,..  Water Meter,No commission   80%loan available from nationalized banks and NBFC at best rates.  1 bed rooms   Modular kitchen, ...  Wall almirah,   Reserved parking,  A beautiful wide drawing and daining room with false ceiling,   Wide balcony with stainless steel railing   Modular connection with appropriate meters,   Ground water facility,   Water tank,..  Easy approach to public transport and market,  Connected ..to metro station",1514367217
https://www.olx.in/item/3bhk-builder-floor-apartment-iid-1517851363," 30,50,000",Delhi,Delhi,Uttam Nagar,Builder Floors,3,2,Furnished,Ready to Move,Builder,710,680,4,1,1,100,East,Home making solution,"3bhk builder floor apartment in uttam nagar west near metro station, ready to move and freehold property,3 bedroom,2bathroom 1balcony,1drawing room,1modular kitchen with chimney and modular fitting with ss basket,intercom facility,texture paint,marble&vitrified tiles flooring,fancy light&led panel light,24hrs electricity and water connection,lift&car parking,home loan available.",1517851363
https://www.olx.in/item/1bhk-builder-floor-apartment-iid-1510532345," 11,00,000",Delhi,Delhi,Uttam Nagar,Builder Floors,1,1,Furnished,Ready to Move,Builder,400,350,4,1,0,100,West,Home making solution,"1bhk builder floor apartment in uttam nagar west near metro station,ready to move flat in bike parking , electricity and water connection,near metro station, 1bedroom,1bathroom,1 drawing with fall celling,1modular kitchen with chimney,modular fitting with ss basket,intercom facility,marble and vitrified tiles in flooring ,fancy light,led panel light,all facility are available near mkt,home loan is also available,",1510532345
https://www.olx.in/item/2-bhk-builder-flat-sale-in-near-metro-station-30-feet-wd-road-iid-1508600885," 37,21,000",Delhi,Delhi,Mohan Garden,Builder Floors,2,2,Semi-Furnished,Ready to Move,Builder,676,587,4,2,1,420,-,-,"2 BHK 75 Sq Yd FRONT SIDE LUXURIOUS BUILDER FLOOR SITUATED IN ONE OF THE PREMIER LOCATION ON B-BLOCK, MOHAN GARDEN, NEAR TO DWARKA MOD METRO STATION, UTTAM NAGAR, NEW DELHI. IT'S AIRY AND WELL VENTILATED WITH 30-0 AND 10-0 WD. OPEN ROAD. EASY ACCESS TO ALL PUBLIC TRANSPORT, MAKING THE LOCATION EXTREMELY EASY TO COMMUTE AND CONNECTED TO ALL PARTS OF THE CITY.  PLASTIC PAINT WITH WALLPAPER OR TEXTURE, 	  DIGITAL VITRIFIED FLOORING, 	  LIFT , 	  POP AND FALSE CEILING, 	  PARKING, 	  SPACE SHAPERS MODULAR KITCHEN, 	  SPACE SHAPERS WARDROBE, 	  FLUSH DOOR WITH HIGH QUALITY LAMINATE OR VINEAR, 	  CEILING LIGHTS, 	  COVE LIGHTS, 	  MODULAR ELECTRICAL SWITCHES,",1508600885
https://www.olx.in/item/spacious-2bhk-for-sale-iid-1517836911," 32,00,000",Delhi,Delhi,Mahavir Enclave 1,Builder Floors,2,2,Semi-Furnished,Ready to Move,Owner,950,900,3,0,1,200,West,-,"Spacious 2bhk flat,located near dashrathpuri metro station and mahavir enclave main market with all basic facilities, with 2 bath rooms and both side street.",1517836911
https://www.olx.in/item/fully-furnished-4-bhk-new-delhi-dwarka-sector-19-iid-1517832083," 1,25,00,000",Delhi,Delhi,Dwarka Sector 19,Builder Floors,4,4,Furnished,New Launch,Owner,1705,1705,4,-,3+,-,North-East,Best Appartments,"We are selling most beautiful 4BHK with 4 Toilets and a pooja room 1705sq feet in Dwarka Sector 19 at 1.25 crore. most of the workdone by best of interior designers .  Some of the reason to visit the sight -  --Newly Constructed Sight (Ready to move)  --24 hours MCD water  --Home loan and Registery  -- Metro stations 300 mtrs away for Dwarka sector 11 and 10 both  --CCTV door bell camera  -- Hafele and Hyndware fittings in Kitchen with IGL PNG connection  --Hybon Lifts best in class with 5 years maintainance warranty  -- Peaceful area surrounded by 3 parks and projected sports complex  --Best prizes in comparison to adjoining areas like Uttam nagar, Raj Nagar , Dwarka sector 8 , Dwarka sector 23 ,Gurgaon.  Yes images attached are from orignal sight do visit.  Contact -954o5o6194  For office location search- Dwarka Affordable Homes on google",1517832083
https://www.olx.in/item/3bhk-full-furnished-for-sale-iid-1517828194," 49,50,000",Delhi,Delhi,Uttam Nagar,Builder Floors,3,2,Furnished,Ready to Move,Owner,900,850,4,1,1,-,South,Aaditya Homes,"Full furnished 3bhk in new constructed building is available for sale.  Registry with 80-90 loan facility.  Price 49.50 lacs.  It is 5-7 minutes walking distance from Nawada Metro Station, Uttam Nagar.",1517828194
https://www.olx.in/item/1bhk-floor-with-more-items-available-in-uttam-nagar-west-shivaya-home-iid-1517817723," 15,61,200",Delhi,Delhi,Uttam Nagar,Builder Floors,1,1,Semi-Furnished,Ready to Move,Dealer,400,385,4,1,-,0,South-West,SHIVAYA ASSOCIATES,"Flat for sale 1 BHk with BIke parking new construction ready to move. Modular kitchen with electric chimney. Ceiling fans, texture paint in every room,  intercom system available and door bell system available here bedroom with balcony, marble flooring fitting, spilt AC fitting. All nationalized bank available here 80% loan available. Prim location just 800m walking distance from Uttam Nagar West Metro Station, near hospital, school, Atm. Get subsidy up to 2.67 lac under pradhan mantri awas yojna.",1517817723
https://www.olx.in/item/1bhk-floor-with-wellwert-touch-paint-shivaya-real-estate-uttam-nagar-iid-1517817301," 14,23,200",Delhi,Delhi,Uttam Nagar,Builder Floors,1,1,Semi-Furnished,Ready to Move,Dealer,400,385,4,1,-,0,North,SHIVAYA ASSOCIATES,"Flat for sale 1BHk with Bike parking new construction ready to move. Modular kitchen with electric chimney. Ceiling fans, intercom system available and door bell system available here bedroom with balcony, marble flooring fitting, spilt AC fitting. All nationalized bank available here 80% loan available. Prim location just 900m walking distance from Uttam Nagar West Metro Station, near hospital, school, Atm. Get subsidy up to 2.67 lac under pradhan mantri awas yojna.",1517817301
https://www.olx.in/item/rajapuri-new-delhi-iid-1517816507," 24,00,000",Delhi,Delhi,Madhu Vihar,Builder Floors,2,1,Furnished,Ready to Move,Owner,550,500,1,-,1,-,-,-,Builder floor upper ground and lift available  Home loan available,1517816507
https://www.olx.in/item/3bhk-floor-graund-water-24-hours-available-uttam-nagar-west-shivaya-iid-1517814511," 34,14,800",Delhi,Delhi,Uttam Nagar,Builder Floors,3,2,Semi-Furnished,Ready to Move,Dealer,750,730,4,1,1,0,South-East,SHIVAYA ASSOCIATES,"Flat for sale 3 BHk with Car parking new construction ready to move. Modular kitchen with electric chimney. texture paint in every room led lights in every room, intercom system available and door bell system available here bedroom with balcony, marble flooring fitting, spilt AC fitting. All nationalized bank available here 80% loan available. Prim location just 900m walking distance from Uttam Nagar West Metro Station, near hospital, school, Atm. Get subsidy up to 2.67 lac under pradhan mantri awas yojna.",1517814511
https://www.olx.in/item/3bhk-splits-ac-fitings-extra-door-shivaya-builder-floor-uttam-nagar-iid-1517813560," 30,12,700",Delhi,Delhi,Uttam Nagar,Builder Floors,3,2,Semi-Furnished,Ready to Move,Dealer,700,685,4,1,1,0,North-West,SHIVAYA ASSOCIATES,"Flat for sale 3BHk with Car parking new construction ready to move. Modular kitchen with electric chimney. Ceiling fans, texture paint in every room led lights in every room, intercom system available and door bell system available here bedroom with balcony, marble flooring fitting, spilt AC fitting. All nationalized bank available here 80% loan available. Prim location just 900m walking distance from Uttam Nagar West Metro Station. Get subsidy up to 2.67 lac under pradhan mantri awas yojna.",1517813560
https://www.olx.in/item/2bhk-for-sale-nearly-over-market-in-uttam-nagar-west-shivaya-home-iid-1517812605," 18,92,100",Delhi,Delhi,Uttam Nagar,Builder Floors,2,1,Semi-Furnished,Ready to Move,Dealer,500,485,4,1,-,0,South,SHIVAYA ASSOCIATES,"Flat for sale 2 BHk with Bike parking new construction ready to move. Modular kitchen with electric chimney. Ceiling fans, texture paint in every room led lights in every room, intercom system available and door bell system available here bedroom with balcony, spilt AC fitting. All nationalized bank available here 80% loan available. Prim location just 900m walking distance from Uttam Nagar West Metro Station, near hospital, school, Atm. Get subsidy up to 2.67 lac under pradhan mantri awas yojna.",1517812605
https://www.olx.in/item/2bhk-bestest-easiest-unit-shivaya-associates-in-uttam-nagar-west-iid-1517811898," 17,45,100",Delhi,Delhi,Uttam Nagar,Builder Floors,2,1,Semi-Furnished,Ready to Move,Dealer,500,485,4,1,-,0,West,SHIVAYA ASSOCIATES,"Flat for sale 2 BHk with Bike parking new construction ready to move. Modular kitchen with electric chimney. texture paint in every room led lights in every room, intercom system available and door bell system available here bedroom with balcony, marble flooring fitting, spilt AC fitting. All nationalized bank available here 80% loan available. Prim location just 1km walking distance from Uttam Nagar West Metro Station, near hospital, school, Atm. Get subsidy up to 2.67 lac under pradhan mantri awas yojna.",1517811898
https://www.olx.in/item/urgent-sale-my-own-floor-50-gaj-with-bike-parking-iid-1517801228," 13,00,000",Delhi,Delhi,Vishwas Park,Builder Floors,2,1,Furnished,Ready to Move,Builder,50,50,1,3,0,100,East,F block vishwash park uttam nagar,I am selling my 50 gaj floor with bike parking and registry 24 hour djb supply water in vishwash park uttam nagar new delhi,1517801228
https://www.olx.in/item/ready-to-move-apartment-in-dwarka-iid-1517787403," 45,00,000",Delhi,Delhi,Bhagwati Garden,Apartments,3,2,Semi-Furnished,Ready to Move,Owner,900,1200,4,1,1,00,North,Owner,"3bhk parking for car ,wide road ,walking distance from metro",1517787403
https://www.olx.in/item/1-bhk-you-looking-a-dream-house-this-is-best-deal-for-you-in-your-bud-iid-1517787227," 15,51,000",Delhi,Delhi,Uttam Nagar,Builder Floors,1,1,Semi-Furnished,Ready to Move,Builder,400,380,8,1,-,0,South-West,BEST BUILDER,"I. There are One bed room with wide balcony.  Ii. Drawing room with fall ceiling & texture paint  Iii. Modern and modular kitchen with chimney and other attachments.  Iv. Tow bath room with tile work up to roof height and branded fittings.  V. covered parking   Vi. Loan facility also available in this building from (Indiabulls/iifl/dhfl)  Vii. Separate electric and water connections with appropriate supply.  Viii. Wall to wall pop , Texture paint & tiles work on front elevation.  ix. Marble & vitrified tiles flooring, Kalinga wire, Branded electrical fittings.  x. Building structure according to height with branded fittings and attachment .  Xi. Easy approach to public transport and market.  XII.90% to 95% loan facility available.  XIII. Construction done in the supervision of architects and structural engineers  Xiv.Asian paints, Royal metallic texture paint in every room",1517787227
https://www.olx.in/item/3bhk-car-parking-with-85-loan-facility-in-uttam-nagar-iid-1504801010," 40,00,000",Delhi,Delhi,Uttam Nagar,Builder Floors,3,2,Semi-Furnished,Ready to Move,Builder,905,900,4,1,1,300,East,OM ASSOCIATES,"I. There are Three bed room with wide balcony.  Ii. Drawing room with fall ceiling & texture paint  Iii. Modern and modular kitchen with chimney and other attachments.  Iv. Tow bath room with tile work up to roof height and branded fittings.  V. Car parking with Lift available.  Vi. Wall to wall pop , Texture paint & tiles work on front elevation.  Vii. Marble & vitrified tiles flooring, Kalinga wire, Branded electrical fittings.  Viii. Separate electric and water connections with appropriate supply.  Ix. Building structure according to height with branded fittings and attachment .  X. Easy approach to public transport and market.  Xi. Loan facility also available in this building from (Indiabulls/iifl/dhfl)  XII.90% to 95% loan facility available.  XIII. Construction done in the supervision of architects and structural engineers  Xiv.Asian paints, Royal  metallic texture paint in every room,  xv.Audio door bell security system also available,",1504801010
https://www.olx.in/item/2-bhk-builder-floor-uttam-nagar-west-iid-1515544183," 30,11,000",Delhi,Delhi,Uttam Nagar,Builder Floors,2,2,Semi-Furnished,Ready to Move,Builder,700,680,4,1,1,0,East,aggarwal real estate,"2+1 ,Two bed room with two bath room on wide road, Big drawing and dining room with false ceiling on roof ,Wide balcony ,Modular kitchen with branded chimney ,Full wall elmira ,Common car parking ,Each bathroom with designer tile work up to roof height with branded fittings and attachment ,Front elevation with stainless steel railing and texture paint and stone work combination ,Wall to wall pop and plastic paint according to consumer choice ,Separate electric and water connection with appropriate meters , Ground water facility .Marble cutney stone work on floor ,Easy approach to public transport and market .Intercom and electronic lock with camera.",1515544183
https://www.olx.in/item/2-bhk-builder-floor-sale-in-mohan-garden-near-by-dwarka-mor-iid-1516176866," 22,00,000",Delhi,Delhi,Dwarka Mor,Builder Floors,2,2,Furnished,Ready to Move,Builder,600,580,4,2,-,200,-,-,2 BHK BUILDER FLOOR SALE IN MOHAN GARDEN NEAR BY DWARKA MOR...,1516176866
