URL,Price,State,District,City,Type,Bedrooms,Bathrooms,Furnishing,Status,Listed by,Builtup Area,Carpet Area,Total Floors,Floor No,Car Parking,Maintenance,Facing,Project Name,Description,AD ID
https://www.olx.in/item/only-378000-or-flat-booking-per-freeeeeeeac-ltd-offer-iid-1514316854," 3,78,888",Haryana,Faridabad,Old Faridabad,Builder Floors,1,1,Semi-Furnished,Under Construction,Owner,540,480,3,0,2,0,North-West,H h 84,"NOTE - Plz time khrab karne ke liye call na kare. REQUEST  Flat 1 bhk hai.   1 bedroom hai 1 drawing Room hai.  Kitchen or let bath hai.  Location hai .  faridabad main hai.  Payment kaise deni hogi.  3,78,000/- phle dene hai.  Uske baad  1,17,000/- dene h position per.  Possition milne k baad hi emi start hongi   Is se pahle nahi.  1,95,000 dene hai emi main.  Time milega 13 saal ka.   Dene k liye.  Sabse auchi baat (Govt Approved hai.)  Total flat hua.  6,90,000/- ka.  60 gajj main hai. Or 540 SQ feet areA.  Facility  Siver line hai.  Water line hai.  Green belt hai   Park hai.  Car Parking h.  GATED society hai.  Or sector main hai.  Agar apko location or payments mode apke liye thk h. hai or ap intreted hai to plz call kariye.  8377817777  Rahul  NEAREST FACILITY  ALL OVER SECTOR.  RESIDENTIAL PROPERTY.  METRO station  RAILWAY STATION  PUBLIC TRANSPORTATION.    CBSC SCHOOL.          MKT.              COLLEGE  MANDIR.                       3, TO 5 HOSPITAL.      DELHI CONNECTIVITY   PLZ CALL SERIOUS BUYERS.  INVESTOR OR BHI BHOOT KUCH PLZ CALL OFFICIAL    8377817777    WTS AP      9555350694",1514316854
https://www.olx.in/item/luxurious-3-bhk-in-sec-57-iid-1506637490," 1,15,00,000",Haryana,Gurgaon,Sector 57,Builder Floors,3,3,Semi-Furnished,Ready to Move,Owner,1470,1320,4,2,2,1000,North,GRCC Floors,3 BHK luxury builder floor on golf course extension road for sale with stilt parking and lift. It has basement as well. Open on two sides with connectivity and visibility from golf course extension road. Luxurious Finishing include UPVC windows and kohler bathroom fittings. Modular kitchen with TV cabinets and designed ceilings in every room.  CC received. Come for a visit and see the difference,1506637490
https://www.olx.in/item/2-bhk-digital-smart-floor-iid-1509714824," 16,50,000",Haryana,Karnal,Ansal Town,Builder Floors,2,2,Semi-Furnished,Under Construction,Builder,1050,825,3,1,1,400,-,Anand vatika,2.67 lac subsidy   > King bedroom size 11*14 + attach toilet washroom   > Simple bedroom size 10*12  > Drawing room size 10*17  > Modular kitchen   > Common toilet wash room   > 3 balconies   > complete wood work in rooms   > wooden flooring in king size bedroom   [ 7 acre project Anand Vatika ]  Total boundary wall secured place with one entry and exit gate   3 tiers security   1. Security gaurds   2. CCTV cameras  3.  Boom barriers,1509714824
https://www.olx.in/item/direct-connected-to-highway-3-bhk-flat-with-store-and-covered-parking-iid-1517374698," 32,50,000",Haryana,Panchkula,Sector 20,Apartments,3,2,Semi-Furnished,Ready to Move,Builder,1350,1100,-,-,1,-,North-East,-,Direct connected to highway 3 Bhk flat with store and covered Parking  Under subsidy Rs. 2.67 Lac  Led Pannels  24 hour water  24 hour security Guards  Secure boundary walls  Lush Green Gardens  Huge Park,1517374698
https://www.olx.in/item/free-fansfree-chimneyfree-ro-with-3-bhk-flat-at-prime-location-iid-1517373979," 32,00,000",Haryana,Panchkula,Sector 20,Apartments,3,3,Semi-Furnished,Ready to Move,Builder,1230,945,-,-,1,-,North-East,-,FREE Fans Chimney and RO with 3 Bhk flat at Prime Location in Peermuchhalla Near sector 20 Panchkula.  Store  Covered Parking  Complete wooden work  Complete False Ceiling  Subsidy Rs. 2.67 Lac,1517373979
https://www.olx.in/item/nh-248-anear-patrol-pampbhondsi-iid-1517370448," 55,00,000",Haryana,Bhondsi,Partal Nagar,Houses & Villas,4+,4+,Semi-Furnished,Ready to Move,Owner,900,810,3,3,3,00,South-West,Villa,NH 248..near patrol pamp..sohna  Gurgaon,1517370448
https://www.olx.in/item/owned-house-in-mahadev-colony-near-chirag-public-school-iid-1517362090," 20,00,000",Haryana,Panipat,Desraj Colony,Houses & Villas,4+,2,Unfurnished,Ready to Move,Owner,675,675,2,-,-,0,-,-,75 gaj Ka makan hai 3 room set niche 3 room set upar hai,1517362090
https://www.olx.in/item/152-sq-yd-15-story-well-built-house-for-sale-in-sec-23a-faridabad-iid-1517361199," 1,20,00,000",Haryana,Faridabad,Sector 23,Houses & Villas,4,3,Unfurnished,Ready to Move,Owner,1368,1100,-,-,1,-,-,-,"1.5 story house built in MCF approved 152 sq yd area in sector 23 A faridabad. 7-8 year old construction with all best feature and well maintained house for sale . Ground floor has 2 bed room, drawing room,semi modular kitchen , Big hall area , 2 bathroom, store and covered backyard. First floor is 2 BHK set with kitchen ,bathroom and store .",1517361199
https://www.olx.in/item/3-bhk-ground-floor-apartment-in-sector-21-340-sq-yards-iid-1517359978," 1,35,00,000",Haryana,Gurgaon,Sector 21,Builder Floors,3,3,Semi-Furnished,Ready to Move,Owner,3060,1800,3,0,1,4000,North,HUDA Sector-21,"The house is NORTH facing and located in Sector-21, Pocket-C at a distance of 500 m from the Kapashera border. The overhead water tank is situated at a distance of just 200 meters as the crow flies and hence there is no water problem even in peak summer. The house is located very close to Unitech Infospace SEZ, Udyog Vihar, & Cyber City. The house is located within a safe community & directly opposite a park. The size of the plot is 340 Sq. Yards. The house has 3 bedrooms, 3 bathrooms, modular kitchen, servant room, a spacious drawing room and a lawn in the front. The house has space for car parking along with gated motorcycle parking. The community market is located at just 5 minutes walk. Schools, hospitals and other amenities are also located very close by.",1517359978
https://www.olx.in/item/new-house-for-sale-iid-1517356355," 8,00,000",Haryana,Raipur Rani,Shahpur,Houses & Villas,2,1,Furnished,New Launch,Owner,544,604,1,1,0,-,North-East,-,"This is a new house. We have shifted from raipur rani to Ambala.   For buyer i would like to make it clear this is valmiki basti. But house  has been desigen for the personal use.  All flouring is completed with marvel.  All interior walls covered with 6 feet tiles. Modern kitchen, washbasin washroom all designed with the imported equipments.  Only interested person can contact.  Don't simply waste ur time our time. If u r really interested just make ur clear deal and done it.  9.5.8.8.1.0.3.1.2.6.  Thanking you",1517356355
https://www.olx.in/item/row-bungalow-for-sale-iid-1517354839," 57,00,000",Haryana,Faridabad,Sector 36,Houses & Villas,4,3,Semi-Furnished,Ready to Move,Owner,900,900,2,-,-,0,South,Padma nivas,"A 2 storey row bungalow with 4 bedrooms, hall, 2 kitchens, 3 bathrooms and within 15 kms vicinity of hospitals, schools, temples, market, shopping malls, hotels, metro station and corporate building.",1517354839
https://www.olx.in/item/nasib-puram-iid-1517345258," 21,00,000",Haryana,Karnal,Shanti Nagar,Farm Houses,2,2,Semi-Furnished,New Launch,Owner,1145,1160,1,1,1,9,North-East,Np,Sahedpura Karnal,1517345258
https://www.olx.in/item/new-50-constructed-iid-1517343967," 57,00,000",Haryana,Panipat,Huda,Houses & Villas,3,2,Unfurnished,Under Construction,Owner,1200,1000,-,-,2,-,West,HUDA SEC 13_17,50c/o constructed,1517343967
