URL,Price,State,District,City,Type,Bedrooms,Bathrooms,Furnishing,Status,Listed by,Builtup Area,Carpet Area,Total Floors,Floor No,Car Parking,Maintenance,Facing,Project Name,Description,AD ID
https://www.olx.in/item/3-bhk-luxury-apartment-in-avalahalli-bda-layout-girinagar-iid-1315750239," 1,25,00,000",Karnataka,Bengaluru,Giri Nagar,Apartments,3,-,Unfurnished,Ready to Move,Owner,1450,1400,4,1,1,2000,North,Pristine Scintilla,3 BHK Luxury Apartment in Avalahalli BDA Layout Girinagar  SPECIFICATIONS:  BDA property with A Khata.  Brick construction.   Italian marble and granite flooring.  Individual solar system.  Teak wood frames and doors.  Jaguar bath fittings.   Cauvery and Bore well.  Generator backup.  Lift.  Individual car parking.   BDA park in 15 meters.,1315750239
https://www.olx.in/item/ready-to-occupy-2-bhk-flats-for-sale-in-doddakammanahalli-iid-1511068765," 48,50,000",Karnataka,Bengaluru,Bilekahalli,Apartments,2,2,Unfurnished,Ready to Move,Builder,1230,1230,-,-,-,-,-,Manjunatha Classic,Ready to Occupy 2 BHK Flats for Sale in Doddakammanahalli,1511068765
https://www.olx.in/item/2-bhk-candeur-landmark-bangalore-iid-1504538045," 59,95,976",Karnataka,Bengaluru,Panathur,Apartments,2,2,Unfurnished,Under Construction,Builder,1124,1124,-,-,-,-,-,Candeur Landmark,2 BHK - Candeur Landmark | Bangalore,1504538045
https://www.olx.in/item/house-and-plot-for-sale-iid-1517259005," 42,00,000",Karnataka,Belagavi,Nehru Nagar,Houses & Villas,2,1,Unfurnished,Ready to Move,Owner,50,17,1,1,1,000,North-East,2BHK+883sqt plot,I have to sale my 2bhk House size is 1020sqt and plot size is 883sqt only 42 lakhs both this property is in new Vaibhav Nagar Belgaum 590010 pin code,1517259005
https://www.olx.in/item/ready-to-move-iid-1517255926," 65,00,000",Karnataka,Shivamogga,Nagarabavi village,Houses & Villas,2,2,Unfurnished,Ready to Move,Owner,1200,1150,1,1,1,6000,East,New home,Am contract home devlepment,1517255926
https://www.olx.in/item/corner-north-east-duplex-3bhk-sale-iid-1517255681," 1,30,00,000",Karnataka,Mysuru,Ramakrishna Nagar,Houses & Villas,3,2,Semi-Furnished,Ready to Move,Dealer,1200,2000,1,1,1,100,North-East,30.40 duplex corner 3bhk ramakrisnha nagara,30.40 north east corner duplex 3bhk sale ramakrisnha nagara brand new home contact 63633416.63,1517255681
https://www.olx.in/item/s-l-v-developers-iid-1517253849," 2,10,00,000",Karnataka,Bengaluru,Uttarahalli,Houses & Villas,4,4,Furnished,New Launch,Builder,1200,1200,3,3,2,-,North,Sale buliding,"Society Site, Good location,New Lanching Buliding,30Feet Road,Near to Uttarahalli,",1517253849
https://www.olx.in/item/sweet-home-for-small-family-iid-1517251329," 14,49,000",Karnataka,Mysuru,Rajiv Nagar Stage 1,Houses & Villas,1,1,Furnished,Ready to Move,Owner,25,400,1,1,0,0,South,Sweet Home,"Beautiful Home for small family.  Well furnished with red bricks, Vetrified Tiles, separate Bathroom and Toilet.  Measurement 1525 sq ft.   Near to Udayagiri Stone Park.  1st main 10th cross Shantinagar Mysore.  More details call me on 87.22.420. 777  Slightly negotiable heavy Bargain  please excuse",1517251329
https://www.olx.in/item/sobha-silicon-oasis-iid-1517247539," 1,20,00,000",Karnataka,Bengaluru,Electronic City Phase I,Apartments,2,2,Unfurnished,New Launch,Owner,1369,1100,-,20,1,-,-,Sobha silicon oasis,Newly constructed apartment ready for interiors  Higher floor - 20th floor apartment.  Good location with all the amenities.,1517247539
https://www.olx.in/item/3050-new-house-for-sale-jp-nagar-iid-1517245729," 1,05,00,000",Karnataka,Mysuru,JP Nagar,Houses & Villas,3,3,Furnished,Ready to Move,Dealer,1500,1200,1,1,1,-,North,Disha,30#50 new house for sale JP Nagar granite flooring Italian kitchen lightings fan solar chimney 100% vastu muda property 3 BHK 2 BHK attached bathroom all take pillar construction very good location West North door contact me Mahesh 91488.5489,1517245729
https://www.olx.in/item/4060-new-duplex-house-for-sale-jp-nagar-iid-1517244653," 1,90,00,000",Karnataka,Mysuru,JP Nagar,Houses & Villas,4,4+,Furnished,Ready to Move,Dealer,2400,2000,1,1,2,-,East,Dishes,40#60 new duplex house for sale JP Nagar granite flooring Italian kitchen lightings fan solar chimney 100% vastu muda property 4 BHK 4 BHK attached bathroom very good location nearby more bus stop all teak wood back loan available contact me Mahesh 91488.5489,1517244653
https://www.olx.in/item/3040-new-house-for-sale-srinagar-nearby-jp-nagar-iid-1517243536," 60,00,000",Karnataka,Mysuru,JP Nagar,Houses & Villas,2,2,Furnished,Ready to Move,Dealer,1200,1150,1,1,1,-,East,Dishes,30#40 new house for sale Srinagar nearby JP Nagar granite flooring Italian kitchen lightings fan solar chimney fully furnished 100% vastu muda property good location contact me mahesha  91488.5489,1517243536
https://www.olx.in/item/east-facing-flats-for-sale-in-vishwapriya-layout-close-iid-1517243278," 34,00,000",Karnataka,Bengaluru,Begur Vishwapriya Nagar,Apartments,2,2,Unfurnished,Under Construction,Builder,1050,1050,4,3,1,-,East,Siri enclave,Bbmp approved flats for sale in 100%vaastu well developed area good connectivity roads clost to bmtc bus stop and shops Walkable distance all needs,1517243278
