URL,Price,State,District,City,Type,Bedrooms,Bathrooms,Furnishing,Status,Listed by,Builtup Area,Carpet Area,Total Floors,Floor No,Car Parking,Maintenance,Facing,Project Name,Description,AD ID
https://www.olx.in/item/2-bhk-flats-for-sale-in-vascon-forest-county-at-kharadi-iid-1319012193," 1,04,00,175",Maharashtra,Pune,Kondhwa,Apartments,2,2,Unfurnished,Under Construction,Builder,1315,1315,-,-,-,-,-,Vascon Forest County,2 BHK Flats for Sale in Vascon Forest County at Kharadi,1319012193
https://www.olx.in/item/1-bhk-flats-for-sale-in-talegaon-katvi-at-23-lacs-vascon-goodlife-iid-1296820915," 23,03,500",Maharashtra,Pune,Talegaon,Apartments,1,1,Unfurnished,Under Construction,Builder,468.5,367.5,-,-,-,-,-,-,"MAHA RERA No- P5210.0016242 , Have all modern Amenities, Big Township",1296820915
https://www.olx.in/item/golden-dream-with-township-all-aminities-iid-1514691287," 27,00,000",Maharashtra,Navi Mumbai,Taloja,Apartments,1,1,Unfurnished,Ready to Move,Builder,600,380,12,8,1,1000,East,Golden dream,"1 BHK homes with Club, school at just Rs.27 lacs! Pre-launching Codename Golden Dream. Applications open.  ",1514691287
https://www.olx.in/item/spacious-flat-with-modern-amenities-in-ready-to-move-complex-at-mumbr-iid-1513215621," 31,44,998",Maharashtra,Thane,Mumbra,Builder Floors,1,1,Unfurnished,Ready to Move,Builder,655,422,7,3,0,2,South-West,valley . .,"##@@**THE PROJECT**@@##             This project is ready possession on 1 acres land with 3 building complex with all the modern ameneties like solar heater, power back up, CCTV, kids play area, prayer hall etc,,               ##@@**CONNECTIVITY**@@##              near by railway station is mumbra to connect the mumbai, thane, kalyan. easy road connectivity to vashi, mhape, airoli, panvel, few km away from propossed international airport,,3144",1513215621
https://www.olx.in/item/my-gandharvis-house-for-sale-iid-1517742531," 24,00,000",Maharashtra,Navi Mumbai,New Panvel,Apartments,1,1,Semi-Furnished,Ready to Move,Owner,555,450,3,1,1,1100,North-East,Mahalaxmi city Vihighar,My one BHK House going for sale with hidden storage and extremely interior,1517742531
https://www.olx.in/item/1bhk-jodi-specious-flat-for-sale-in-shreepati-poonam-sagar-mira-road-iid-1514331125," 1,05,00,000",Maharashtra,Mumbai,Mira Road East,Apartments,3,3,Semi-Furnished,Ready to Move,Dealer,1100,750,7,2,1,-,East,SHREEPATI CHS,"1bhk Jodi  Flat for sale in Shreepati chs, Poonam Sagar Complex, Mira Road(e). Located in an extremely peaceful society the property overlooks the mangroves in Mira Road east and the joggers park right below the building. The joggers park has facilities for basketball, volleyball and other sports. The property is 5 mints walk from station and is located within 5 mins drive from major schools, hospitals, shopping centers, major restaurants. with Furnish & Stilt Parking. CALL FOR MORE DETAILS & VISIT.",1514331125
https://www.olx.in/item/1-bhk-flat-for-sell-iid-1517742373," 55,00,000",Maharashtra,Pune,Kothrud,Apartments,1,1,Semi-Furnished,Ready to Move,Owner,600,576,4,4,0,500,North,Savali v6,Property papers - Available,1517742373
https://www.olx.in/item/spacious-decent-1bhk-at-10-mins-from-kalyan-and-vitthalwadi-station-iid-1517741682," 40,00,000",Maharashtra,Thane,Kalyan,Apartments,1,1,Semi-Furnished,Ready to Move,Owner,593,378,7,6,-,1500,-,Malhar Constructions,We are a family of 5 people. Current property of 1 BHK is getting congested for us to accomodate all 5. Property is merely 6 yrs old. I habe booked a new property of 2BHK nearby. So want to sell the existing one. Contact me if interested.,1517741682
https://www.olx.in/item/1-bhk-7199-lakhs-package-deal-main-ghodbundar-road-iid-1513213352," 71,99,000",Maharashtra,Mumbai,Mira Road,Apartments,1,2,Unfurnished,New Launch,Builder,765,430,34,9,1,5000,East,Code Name TOWER 34,1 BHK 71.99 Lakhs Package Deal @ Main   Ghodbundar Road  Tallest Tower on Main Ghodbundar Road   40 + Amenities LifeStyle    Contact us for Site Visit,1513213352
https://www.olx.in/item/apke-khawabon-ka-ghar-sirf-50000-pay-kar-ke-paye-khud-ka-ghar-iid-1515495498," 16,37,999",Maharashtra,Manor,Palghar East,Apartments,2,2,Semi-Furnished,Ready to Move,Owner,665,465,3,3,2,665,East,Magnum,"1.Project Details   -Ready  Possession/New construction/OC  Available   - Loan Availability On Agreement Value Is 95 % . .   -Flat Area =(1BHK) 690.    - Loan Approved From All Banks.   - *No Stamp Duty Registration*    - *NO GST*   2. Connectivity   - Connectivity From Mumbai-Gujarat Highway.   -  Hrs Drive From Fort Via Western Express Highway.   - 5 to7 Min From Palghar Station/Easy Access To Boisar-Virar    -From Station 65 Number Bus In Every 20 Min, Sharing Rickshaw Available From station   - Address :Plot No 30 of S.N 23/3,Navli,Tal-Palghar (East).   3. Additional Information -   - All Flats According To Vastu Compliance.   - Cctv Surveillance In Every Corner Of The Building.   -School, College, Hospital, Etc Etc In 5min Range.   - Security Cabin With Watchmen 24x7.   - 24 Hrs Electricity & Water Connection From BMC   - Personal Society Bore Well In Case Of Emergency.   - Parking For 2 Wheelers & 4 Wheelers (Covered)..   -On Going Projects  Boisar//Shil Thane//Nasik//Palghar//Khopoli//",1515495498
https://www.olx.in/item/3bhk-flat-for-sale-in-jaiprakash-nagarnagpur-iid-1517741091," 60,00,000",Maharashtra,Nagpur,Jaiprakash Nagar,Apartments,3,3,Semi-Furnished,Ready to Move,Owner,1250,1075,5,3,1,-,-,-,"It is a 3BHK Flat with 3 bathrooms and 2 balconies , one attached to bedroom and another one to living room.  amenities:  lift  water supply  parking",1517741091
https://www.olx.in/item/1bhk-located-at-perfect-location-iid-1516644673," 34,00,000",Maharashtra,Navi Mumbai,Karanjade,Apartments,1,1,Unfurnished,Under Construction,Dealer,630,384,4,2,1,-,North-East,Ashirvad Apartment,Karanjade and nearby location is in developing zone and construction is going on in full swing with connectivity from Panvel Station by Sharing Auto and NMMT Bus service. Frequency is 15 minutes and ditance from Panvel station to karanjade is 10-12 minutes. Well ventillated Airy flats. Contact for more details.,1516644673
https://www.olx.in/item/2-bhk-flat-far-sale-f-residences-kalyani-nagar-iid-1514329300," 1,14,00,000",Maharashtra,Pune,Kalyani Nagar,Apartments,2,2,Unfurnished,Ready to Move,Dealer,1228,910,20,5,1,-,East,Bramhacorp F Residences Kalyani Nagar,"2, BHK   Residences, Near Bramha SunCity, New Kalyani Nagar, Pune- 411014  North East facing luxury flats with best of the amenities.   Centrally located beside Kalyani Nagar.   Branded specifications with good surrounding.   Kalyani Nagar is very nice and beautiful locality.Modular Kitchen 	Earthquake Resistant   	Vaastu / Feng Shui   	Street Light  	CCTV Cameras   	Gated community   	Security  	Community Hall   	Club House   	Party Area  	Senior Citizen Park  	Swimming Pool   	Gymnasium   	Jogging Track  	Play Area  	Tennis Court   	Badminton Court  	Basket Ball Court  	Intercom  	Rain Water Harvesting  	Lift  	Maintenance Staff  	24Hr Backup Electricity  	Service Lift",1514329300
