URL,Price,State,District,City,Type,Bedrooms,Bathrooms,Furnishing,Status,Listed by,Builtup Area,Carpet Area,Total Floors,Floor No,Car Parking,Maintenance,Facing,Project Name,Description,AD ID
https://www.olx.in/item/house-sell-krna-j-jruri-iid-1517152672," 5,00,000",Punjab,Abohar,New Abadi Colony,Apartments,2,2,Furnished,Under Construction,Owner,14,42,1,1,0,-,East,Hausa for sell,1442 house for sell only 500000,1517152672
https://www.olx.in/item/house-is-good-condition-iid-1516715243," 11,50,000",Punjab,Abohar,Chandigarh Mohalli,Houses & Villas,2,2,Furnished,New Launch,Owner,13,45,1,0,0,300,North,Metro colony abohar,Money problem,1516715243
https://www.olx.in/item/sale-house-iid-1516250202," 38,00,000",Punjab,Abohar,Shaheed Baghat Singh Colony,Houses & Villas,4,4+,Furnished,New Launch,Owner,2500,1850,2,-,3,-,North,Jasbir bhullar,2013 model house 4 bedroom 2 drwing room 2 kitchen 2 store 5 bathroom 2 car parking,1516250202
https://www.olx.in/item/electricity-connection-water-connection-water-tank-largest-lobby-iid-1516091507," 8,00,000",Punjab,Abohar,Fazilka Chungi,Houses & Villas,3,2,Furnished,Ready to Move,Owner,40,40,-,-,-,-,-,Khppanwali vilage me hai,Our goverment job in rajasthan,1516091507
https://www.olx.in/item/sale-home-new-condition-iid-1516030991," 5,50,000",Punjab,Abohar,Jain Nagar,Farm Houses,2,2,Furnished,Ready to Move,Owner,17,22,1,1,0,550000,East,sale,sale new condition all room nice,1516030991
https://www.olx.in/item/dhani-bisheshernath-kandhwala-road-abohar-iid-1514825452," 8,50,000",Punjab,Abohar,Village Azamgarh,Houses & Villas,4+,2,Furnished,Ready to Move,Owner,1900,40,1,1,1,5,North,Gurwinder singh,Urgent sale for house,1514825452
https://www.olx.in/item/house-for-sale-prime-location-in-heart-of-city-st-no-9-abohar-iid-1514768914," 58,00,000",Punjab,Abohar,Govind Nagari,Houses & Villas,4,2,Furnished,Ready to Move,Owner,1000,1200,2,2,0,0,East,House,Well built House,1514768914
https://www.olx.in/item/new-house-ready-for-sale-iid-1514310685," 28,00,000",Punjab,Abohar,Sai Vihar,Houses & Villas,3,3,Furnished,Ready to Move,Owner,1500,100,2,2,1,0,North,15 *60 new house,New house read for sale,1514310685
https://www.olx.in/item/new-build-house-for-sale-iid-1514158769," 27,00,000",Punjab,Abohar,Azamgarh,Houses & Villas,3,2,Semi-Furnished,Ready to Move,Owner,1200,1000,1,1,1,1000,West,New build house,New build house for sale in abohar new suraj nagari,1514158769
https://www.olx.in/item/43by34-3-room-1-store-room-2-bathroom-1-shop-1-kitchen-iid-1513909637," 20,00,000",Punjab,Abohar,Panjdeer Nagar,Farm Houses,3,2,Furnished,Ready to Move,Owner,43,34,1,1,1,-,East,Sale home last price is 1700000,Sale home in 1800000 to 200000,1513909637
https://www.olx.in/item/south-avenue-st-no-13-kothi-for-sale-4560-sq-ft-area-corner-house-iid-1513135286," 55,00,000",Punjab,Abohar,Model Town,Houses & Villas,4+,3,Semi-Furnished,Ready to Move,Owner,4560,4500,1,0,3+,0,North-East,-,House house,1513135286
https://www.olx.in/item/dashmesh-nagar-st-no6-near-uttam-vihar-colony-gate-no3-iid-1500549098," 17,00,000",Punjab,Abohar,New Abadi Colony,Houses & Villas,3,1,Furnished,Ready to Move,Owner,918,918,2,-,-,-,-,-,Urgent sale,1500549098
https://www.olx.in/item/2-story-house-in-street-7-nanak-nagri-abohar-iid-1308844913," 30,00,000",Punjab,Abohar,Anand Nagar,Houses & Villas,1,2,Semi-Furnished,Ready to Move,Owner,1200,1800,2,-,1,-,West,-,"2 story house in Street 7, Nanak Nagri, Abohar",1308844913
https://www.olx.in/item/very-good-home-arya-nagar-street-no-8-abohar-near-dr-sudershan-shop-iid-1218819667," 14,00,000",Punjab,Abohar,Thakurabadi,Houses & Villas,3,2,Furnished,Ready to Move,Owner,925,1000,1,-,1,-,North,-,Very good home,1218819667
https://www.olx.in/item/a-house-in-the-heart-of-the-city-iid-793241781," 26,00,000",Punjab,Abohar,Anand Nagar,Houses & Villas,3,2,Furnished,Ready to Move,Owner,800,1100,2,-,1,-,East,-,"A well furnished house with two bedrooms in a very reasonable price near devi mandir band gali very safe area one extra room on the first floor. House( size 2040) sq feet. address : 7160,st no. 2 anand nagri near devi mandir Abohar. opposite dara medical house",793241781
https://www.olx.in/item/nai-abadi-abohar-iid-1312149513," 25,00,000",Punjab,Abohar,Ahuja Nagari,Houses & Villas,3,1,Unfurnished,Ready to Move,Owner,1200,800,2,-,1,-,East,-,Nai abadi. House,1312149513
https://www.olx.in/item/16-kms-from-abohar-city-situated-in-middle-of-iid-1287317511," 12,00,000",Punjab,Abohar,Fazilka Chungi,Houses & Villas,4,1,Semi-Furnished,Ready to Move,Owner,5400,5400,-,-,1,-,North,-,16 kms from Abohar City Situated In Middle of Village Danewala Satkosi,1287317511
