URL,Price,State,District,City,Type,Bedrooms,Bathrooms,Furnishing,Status,Listed by,Builtup Area,Carpet Area,Total Floors,Floor No,Car Parking,Maintenance,Facing,Project Name,Description,AD ID
https://www.olx.in/item/villa-bunglow-4-bedroom-2-modular-kitchens-5-iid-1275382725," 3,25,00,000",Rajasthan,Mount Abu,Friends Colony,Houses & Villas,4,4+,Furnished,Ready to Move,Owner,2500,2400,3,-,-,-,East,-,"Villa Bunglow 4 bedroom, 2 modular kitchens, 5 toilets, 4 lobby, 4 balconies, 4 sides opened 4AC, 3.5 KW UPS Invertor, pressure pump, with 4 double beds with box with beds, big size refrigerator, 2 RO if branded Compony, 7 water geyser of jaguar, 1 LED android make Sony 55 inches size, 1 LED 32 inches size make Sony, 1 sofa set with central table, 1 sofa cum bed with box, fully automatic washing machine LG, Almirah in all rooms well etc. furnished, have star rating living facility house for sell in prime location of Mount Abu",1275382725
https://www.olx.in/item/ready-to-move-iid-1515681649," 39,00,000",Rajasthan,Jalor,Jalor B,Farm Houses,2,2,Unfurnished,Ready to Move,Owner,2000,1800,0,-,3,0,East,-,New ramdev colony jalore near shaanti baal niketan school and raaj public school  7726878750 nidhi Rawal,1515681649
https://www.olx.in/item/lonable-ada-approved-newly-construected-house-iid-1315946303," 42,00,000",Rajasthan,Ajmer,Chandra Nagar,Houses & Villas,3,2,Semi-Furnished,Ready to Move,Owner,1200,1200,1,-,1,-,East,-,Lonable Ada Approved Newly Construected House With With Semifurnished kitchen,1315946303
https://www.olx.in/item/lonable-newly-constructed-house-ar-very-nice-location-iid-1513780156," 29,00,000",Rajasthan,Ajmer,Chandra Nagar,Houses & Villas,2,2,Semi-Furnished,Under Construction,Owner,750,750,1,-,1,-,North,82 gaj LONABLE HOUSE,Lonable newly consteucted house with modular and semifurnished kitchen   At very nice loaction corner,1513780156
https://www.olx.in/item/sell-my-house-iid-1517928169," 30,00,000",Rajasthan,Ajmer,Madar Chungi Chowk,Houses & Villas,2,2,Unfurnished,Ready to Move,Owner,150,150,1,1,1,0,East,-,Sell my houSe muhbeb  Huneueyuhj,1517928169
https://www.olx.in/item/mortgage-loans-iid-1517921970," 10,00,000",Rajasthan,Ajmer,Parav,Houses & Villas,1,1,Furnished,New Launch,Dealer,100,100,1,1,0,10,East,Loan,10 lack to 3 cror tk ka loan krta hu my no.  729783o713,1517921970
https://www.olx.in/item/3bhk-flat-for-sale-iid-1517914928," 14,50,000",Rajasthan,Ajmer,Lohagal,Apartments,3,2,Unfurnished,Under Construction,Dealer,763,610,8,3,-,-,West,-,*    ,1517914928
https://www.olx.in/item/2bhk-flat-for-sale-iid-1517914565," 10,90,000",Rajasthan,Ajmer,Lohagal,Apartments,2,2,Unfurnished,Under Construction,Dealer,583,466,8,-,-,-,East,-,*    ,1517914565
https://www.olx.in/item/good-location-house-iid-1517791701," 28,00,000",Rajasthan,Ajmer,Ajay Nagar,Farm Houses,3,2,Unfurnished,New Launch,Dealer,675,675,1,1,0,0,West,Krishna Colony,New house for sale good location,1517791701
https://www.olx.in/item/sale-my-hause-argently-35-lake-iid-1517787265," 35,00,000",Rajasthan,Ajmer,Lohagal,Farm Houses,4,2,Unfurnished,New Launch,Owner,200,1200,1,1,1,12,East,Maa sharda hause,I purchased new Hause,1517787265
https://www.olx.in/item/house-for-sell-iid-1517757229," 10,50,000",Rajasthan,Ajmer,Kirti Nagar,Houses & Villas,1,1,Furnished,Ready to Move,Owner,550,800,1,1,0,500,North,-,I Want To Sell My House Urgent,1517757229
https://www.olx.in/item/chander-vardai-nagar-lonable-plots-and-house-are-available-iid-1517743647," 25,00,000",Rajasthan,Ajmer,Chandra Nagar,Houses & Villas,3,2,Semi-Furnished,Ready to Move,Builder,999,999,01,01,1,00,North-West,Chander vardai nagar lonable new house and plots are available,Chander vardai nagar lonable plots and house are available at good location..,1517743647
https://www.olx.in/item/2-bhk-flat-90-loan-near-janana-hospital-loha-gal-ajmer-iid-1517646157," 10,90,100",Rajasthan,Ajmer,Lohagal,Apartments,2,2,Unfurnished,Under Construction,Builder,583,467,8,2,1,550,East,Aravali Homes - 2,"Why should you buy Flat in Aravali Homes :-  Aravali Homes won the best residential project in Rajastham under PMAY. The award has been given by Ministry office Urban Affairs  Address :- Near Janana Hospital, Loha gal road, Ajmer  1. Get loan up To 90%.  2. Get Subsidy up to  2,67,000 at Loan       interest.   3. Excellent ventilation.  4. Rain water harvesting.  5. 24 Hour Security Guard.  6. High quality lift+Strechre lift, Garden       Community Hall etc.  7. Commercial shops.   8. Excellent Lay out plan.   For site visit call Now :-  For More details call -",1517646157
https://www.olx.in/item/aravali-homes-3-bhk90-loanable-flats-near-janana-hospitalajmer-iid-1517635482," 14,50,000",Rajasthan,Ajmer,Lohagal,Apartments,2,2,Unfurnished,Under Construction,Builder,763,645,8,6,1,750,East,Aravali Homes - 2,"Why should you buy Flat in ''Aravali Homes'' :-  Aravali Homes won the best residential project in Rajastham under PMAY. The award has been given by Ministry of Urban Affairs  1. Get loan up To 90%  2. Get Subsidy up to  2,67,000 at Loan       interest.   3. Excellent ventilation.  4. Rain water harvesting.  5. 24 Hour Security Guard.  6. High quality lift+Strechre lift, Garden       Community Hall etc.  7. Commercial shops.   8. Excellent Lay out plan.   9. Hospital,  College,  school, daily needs        stores available in 1 km Radius.   10. Good communication from rest of       AJMER.  For More details call Now :-",1517635482
https://www.olx.in/item/3bhk-flat-for-sale-iid-1517616615," 12,50,000",Rajasthan,Ajmer,Lohagal,Apartments,3,2,Unfurnished,Under Construction,Dealer,653,522,8,4,-,-,East,-,3Bhk Affordable flat for sale  1 BHK - 350 SQ. FT. - 6.50 LAC   2 BHK- 485 SQ. FT. - 8.90 LAC   2 BHK SUPER- 583 SQ.FT. - 10.90 LAC   3 BHK- 653 SQ. FT. - 12.50 LAC  3 BHK SUPER- 763 SQ. FT.- 14.50 LA uhC in,1517616615
https://www.olx.in/item/sell-house-iid-1517588356," 28,00,000",Rajasthan,Ajmer,Madar Chungi Chowk,Houses & Villas,2,3,Unfurnished,Ready to Move,Owner,220,220,1,1,2,-,West,Sale house,Selling house (110 Gaz making ground floor with terrace &Car parking on 220 Gaz land),1517588356
