URL,Price,State,District,City,Type,Bedrooms,Bathrooms,Furnishing,Status,Listed by,Builtup Area,Carpet Area,Total Floors,Floor No,Car Parking,Maintenance,Facing,Project Name,Description,AD ID
https://www.olx.in/item/2-bhk-flats-for-sale-icf-colony-ayyappakkam-iid-1514015908," 42,00,000",Tamil Nadu,Chennai,Ambattur Athipet,Apartments,2,2,Unfurnished,Ready to Move,Owner,900,3500,2,1,1,800,East,Classy Grande,"Newly Build apartment, ready to move in, wooden Cupboard works completed for all rooms, lift facility available",1514015908
https://www.olx.in/item/cmda-approved-flat-for-sale-at-ambattur-iid-1277731449," 16,65,000",Tamil Nadu,Chennai,Ambattur,Apartments,2,1,Unfurnished,Under Construction,Owner,555,555,2,2,3+,300,West,Krishna garden,CMDA approved flat for sale at ambattur thirumullaivayal pachaiamman koil road allindia radio station behind 1bhk. 2bhk and 3bhk available 3000 rs for sqft bank loan arranged 2.67 lakhs prathan awas yojana subcedi available,1277731449
https://www.olx.in/item/tiruninravur-individual-villas-near-rly-station-iid-1514455820," 20,99,000",Tamil Nadu,Chennai,Padi,Houses & Villas,2,2,Unfurnished,Under Construction,Builder,800,600,2,1,1,0,North,Mathura phase 3,Near perumal temple in tiruninravur   Gated community   24/30 feet roads  sweet ground water   Street lights   Near to Oxford cbse school  1.5 km from raghavendra school  1.2 km from railway station thiruninravur   5 min drive from avadi   well residential area   Prathan mantri scheme availed  Loan arranged upto 90 % .,1514455820
https://www.olx.in/item/brigade-xanadu-offers-spacious-and-luxurious-2-bhk-iid-1517850453," 81,15,000",Tamil Nadu,Chennai,Mogappair West,Apartments,2,2,Unfurnished,Under Construction,Builder,872,610,4,4,1,-,South,Brigade Xaandu,"Brigade Enterprises Ltd brings you Brigade Xanadu, their first residential project in Chennai, located at Mogappair West. Brigade Xanadu offers spacious and luxurious 2 BHK, 3 BHK and 4 BHK apartments. Spread across 33 acres of land, this township opens up an expanse of greenery and features tropical Balinese landscaping combined with Spanish architecture. You are welcome to a township life loaded with amenities such as clubhouse, community gardening area, indoor play courts, gym and aerobics space, rooftop swimming pool, amphitheatre, kids play area, cafeteria, shopping arcade and creche. Good connectivity to public transport facilities and presence of schools, hospitals, bank branches and hotels has made Mogappair West a prime residential neighbourhood of Chennai.",1517850453
https://www.olx.in/item/independent-house-iid-1517790386," 37,00,000",Tamil Nadu,Chennai,Sundaracholapuram,Houses & Villas,2,1,Unfurnished,Ready to Move,Owner,800,850,1,1,1,-,South,Indipendent house,I selling independent House . am staying this home,1517790386
https://www.olx.in/item/2-mins-from-bustand-and-railway-station-15-yrs-old-iid-1517780523," 38,00,000",Tamil Nadu,Chennai,Villivakkam,Apartments,2,2,Semi-Furnished,Ready to Move,Owner,780,780,2,1,0,500,West,Aravinda Constructions,"Double bedroom apartment, 2 mins walk from villivakkam bustand and railway station",1517780523
https://www.olx.in/item/2bhk-appartment-kovilpadagai-avadi-iid-1517764431," 30,00,000",Tamil Nadu,Chennai,Poompozhil Nagar,Apartments,2,2,Semi-Furnished,Ready to Move,Owner,750,700,2,2,1,700,East,Ayshwaryam Galaxy,"We are the proud owners of this 2 bhk apartment located in Kovilpadagai Avadi, surrounded by    School,market,HVF factory.Just 300 mtrs from Main road.This property total square feet of 750, 2BHK, with modular kitchen and covered by car parking,lift,.",1517764431
https://www.olx.in/item/individual-villa-project-iid-1517735472," 17,40,000",Tamil Nadu,Chennai,Thirumullaivoyal,Houses & Villas,2,2,Unfurnished,Under Construction,Owner,600,600,0,0,0,0,North-East,Sri Sai Nagar,Registration patta free 80%bank loan available fully residential area.,1517735472
https://www.olx.in/item/indijual-house-iid-1517735096," 13,05,000",Tamil Nadu,Chennai,Thirumullaivoyal,Houses & Villas,1,1,Unfurnished,Under Construction,Owner,450,450,0,0,0,0,South-East,Sri sai nagar,Free bank loan,1517735096
https://www.olx.in/item/magalakashmi-builders-only-patta-land-iid-1517733384," 13,10,000",Tamil Nadu,Chennai,Thirumullaivoyal,Houses & Villas,1,1,Unfurnished,Under Construction,Owner,450,450,0,0,0,0,North-East,Sri Sai Nagar,Registration patta free 80%bank loan available fully residential area.,1517733384
