URL,Price,State,District,City,Type,Bedrooms,Bathrooms,Furnishing,Status,Listed by,Builtup Area,Carpet Area,Total Floors,Floor No,Car Parking,Maintenance,Facing,Project Name,Description,AD ID
https://www.olx.in/item/sale-pilliyar-coil-auction-iid-1517784284," 74,30,000",Tamil Nadu,Maduranthakam,Karunagaravilagam,Houses & Villas,4+,4+,Semi-Furnished,Ready to Move,Owner,3500,6540,2,-,2,-,-,-,"Ground + First Floor 3500 sft building, 6540 sft land,  in West pilliyar kohl street, karunguzhi panchayat, Maduranthangam, Kancheepuram",1517784284
https://www.olx.in/item/new-house-at-vadugapalayam-senthur-iid-1302199555," 27,00,000",Tamil Nadu,Pollachi,Pollachi Railway Station,Houses & Villas,2,2,Unfurnished,Ready to Move,Owner,1100,870,2,-,1,-,North,-,"New House at vadugapalayam, senthur garden,pollachi.",1302199555
https://www.olx.in/item/house-nearer-to-pollachi-iid-1517855284," 35,00,000",Tamil Nadu,Pollachi,Head Post Office Pollachi,Houses & Villas,2,2,Furnished,Ready to Move,Owner,1500,4300,-,-,2,-,East,-,"House is East facing with 10 cent in 100 meters from pollachi to dharapuram NH 9km from pollachi town. Number  95244and90621 or 99767and56711 . Nature and peaceful area. 5km from unjavelampatti. Watsap 99427and21697. Near 1km PIET college,banks. House built by engineer.",1517855284
https://www.olx.in/item/river-view-house-iid-1517571947," 50,00,000",Tamil Nadu,Pollachi,Mahalingapuram,Houses & Villas,2,1,Unfurnished,Ready to Move,Owner,2000,2000,1,1,3,500,East,Guest house,Tiled house facing river and agricultural lands,1517571947
https://www.olx.in/item/new-house-at-makkinampatti-pillayar-nagar-iid-1517558061," 45,00,000",Tamil Nadu,Pollachi,Pollachi Anna Bus Stand,Houses & Villas,2,3,Furnished,New Launch,Owner,1575,1275,1,-,1,-,North,Ayyanar Builders,"Two bedrooms 16x10 , & 16x8 both attached  Hall 16x16  Kitchen  10x8   Dining 11x8  Pooja Room 6x6  Store Room 6x6  Portico 22x9  Sitout, ups, AC, Chimney, 5.1 speaker system,  Tv all bedrooms provisions.  Rain water harvest & can store in water tank,  Earthing  Waste water chokebits  All electrical & Plumbing items fixed  Two over head tanks for borewell and good water,  Automatic control for water tanks,  Water proofing for roof,  Pest control done at basement,  House opposite full park site,  Good nature aside coconut farm,  Many more facilities.....  Call 9842256394",1517558061
https://www.olx.in/item/new-building-in-rponnapuran-iid-1516718651," 23,00,000",Tamil Nadu,Pollachi,Arumugam Nagar,Houses & Villas,2,2,Unfurnished,Ready to Move,Owner,800,200,1,-,1,-,North,-,New building in R.Ponnapuram . Contact : 9. 9. 4. 2. 5. 9. 6. 1. 7. 1,1516718651
https://www.olx.in/item/super-house-iid-1516546788," 49,00,000",Tamil Nadu,Pollachi,Arumugam Nagar,Houses & Villas,2,3,Semi-Furnished,Ready to Move,Owner,1500,1400,1,1,1,500,East,Masanic,Built by sand,1516546788
https://www.olx.in/item/house-2-2bk-2bk-shels-iid-1516394039," 49,00,000",Tamil Nadu,Pollachi,Pollachi Railway Station,Houses & Villas,4,2,Semi-Furnished,Ready to Move,Owner,1800,1800,1,1,1,30,North-East,House,Indira garden vadkipaliyam 2km poy,1516394039
https://www.olx.in/item/a-flat-for-sale-iid-1516017345,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.olx.in/item/new-house-for-sale-pollachi-iid-1515935826," 27,00,000",Tamil Nadu,Pollachi,Pollachi Anna Bus Stand,Houses & Villas,2,2,Unfurnished,New Launch,Builder,1000,1100,1,1,1,-,East,As Builders,"Rooms: 2 bedroom + attach bathroom, hall, kitchen, store room, bathroom   Bore : 500ft pure water (not salt water)   Water tank : 1 - 1000Lt   Water shed : 8000 Lt  With EB service   With compound wall  Other 2 New house also available ,cnt :9578935019  9865350259",1515935826
https://www.olx.in/item/final-price-no-arguemeant-8cent5housesaspetescementsheet-iid-1515715905," 40,00,000",Tamil Nadu,Pollachi,Pollachi Railway Station,Houses & Villas,4+,4+,Furnished,Ready to Move,Owner,1500,3500,5,22,0,0,South,Only one settlement,Building with 5 houses,1515715905
https://www.olx.in/item/house-in-r-ponnapuram-iid-1515376049," 65,00,000",Tamil Nadu,Achipatti,MVG Nagar,Houses & Villas,3,3,Semi-Furnished,Ready to Move,Owner,1700,2700,-,-,1,-,-,-,Selling my home,1515376049
https://www.olx.in/item/residential-building-iid-1515263657," 85,00,000",Tamil Nadu,Chinnampalayam,Elumalai Nagar,Houses & Villas,4+,4+,Semi-Furnished,Ready to Move,Owner,2500,2200,2,-,1,-,North,INDIVIDUAL,"Surrounding by Colleges(MCET, NPT), Schools, hospitals, Market and all amenities as well as well connected with Pollachi Udumalai main road(NH 209).",1515263657
https://www.olx.in/item/house-for-sale-iid-1515016273," 70,00,000",Tamil Nadu,Pollachi,Pollachi Anna Bus Stand,Houses & Villas,4,4+,Furnished,Ready to Move,Owner,3500,3000,2,-,1,-,North,-,House for sale at pollachi k. V. R nagar,1515016273
https://www.olx.in/item/vadugapalayam-near-to-coimbatore-main-road-iid-1514719585," 46,00,000",Tamil Nadu,Pollachi,Head Post Office Pollachi,Houses & Villas,2,3,Unfurnished,Ready to Move,Dealer,1300,1650,1,1,2,0000,North-West,New house,House VADUGAPALAYAM POLLACHI,1514719585
https://www.olx.in/item/house-for-sale-in-sakthi-nagar-near-nachimuthu-polytechnic-iid-1501289736," 44,00,000",Tamil Nadu,Pollachi,Pollachi Anna Bus Stand,Houses & Villas,4,3,Unfurnished,Ready to Move,-,1980,1680,-,-,-,-,North,-,House for immediate sale in Sakthi Nagar behind PWD quarters close to udumalai road. The house has 3 portions which can be rented out. No water problem. The price is negotiable.,1501289736
https://www.olx.in/item/house-for-sale-iid-1513980685," 10,00,000",Tamil Nadu,Pollachi,Pollachi Anna Bus Stand,Houses & Villas,1,1,Unfurnished,-,Owner,400,423,0,0,0,100,East,nil,house for sale in pollachi. just 1km from bus stand. near new scheme road.,1513980685
