URL,Price,State,District,City,Type,Bedrooms,Bathrooms,Furnishing,Status,Listed by,Builtup Area,Carpet Area,Total Floors,Floor No,Car Parking,Maintenance,Facing,Project Name,Description,AD ID
https://www.olx.in/item/new-house-for-urgent-sale-iid-1516883910," 1,25,00,000",Telangana,Warangal,Hanamkonda,Builder Floors,2,3,Unfurnished,New Launch,Owner,1485,1485,4,-,2,-,West,-,"Brand new house with assured 100%quality. selling whole house, duplex.",1516883910
https://www.olx.in/item/small-independent-house-for-immediate-sale-iid-1517792686," 18,00,000",Telangana,Warangal,Subedari,Houses & Villas,1,1,Unfurnished,Ready to Move,Owner,477,382,1,1,0,0,East,Small Independent house for immediate sale,"Independent house for immediate sale. With 6 pillars 53 square yards. One big room, one moderate kitchen,  varanda, wash area and bathroom behind. Stairs are at the back side",1517792686
https://www.olx.in/item/2bhk-flats-for-sale-limited-flats-available-dharmasagar-road-warangal-iid-1515513311," 34,00,000",Telangana,Warangal,Hanamkonda,Apartments,2,2,Furnished,Ready to Move,Owner,1450,1450,3,2,1,-,East,Gulmohar,"Get new luxury flats for Sale..  Limited flats available in Dharmasagar Road,  Madikonda Warangal on affordable prices with all the amenities like 24 X 7 Security, Lifts, Power Backup, etc.,  The project offers flats in 2 & 3 BHK configurations available from 735 sqft to 1450 sqft.",1515513311
https://www.olx.in/item/i-need-a-plot-for-house-construction-iid-1517279765," 1,00,000",Telangana,Warangal,Kishanpura,Houses & Villas,2,2,Unfurnished,New Launch,Owner,3000,3000,0,0,0,0,East,required flat,genuine persons only message me,1517279765
https://www.olx.in/item/independent-houses-and-plots-for-sale-in-hanamkonda-kazipet-revenue-iid-1517201424," 60,00,000",Telangana,Warangal,Prashant Nagar,Houses & Villas,2,2,Furnished,Ready to Move,Dealer,2400,2000,2,-,1,-,North-East,-,Independent Houses for sale and plots for sale in and around hanamkonda postal colony Revenue colony NGOs colony kazipet Subedari julywada excise colony prashanth nagar and agricultural land's from One acre to 25 acres of land for sale in hanamkonda madikonda nearest,1517201424
https://www.olx.in/item/2-1bhk-flat-for-sale-within-your-budget-in-madikonda-warangal-iid-1514838130," 19,00,000",Telangana,Warangal,Subedari,Apartments,1,1,Semi-Furnished,Ready to Move,Owner,735,735,3,1,-,-,West,Gulmohar,"This multistorey apartment is located in Dharmasagar Road, Madikonda, Warangal.   It's a 3 floors building and flat for sale in 1st floor with West facing. And also available in other sizes & floors also.  It's a newly constructed apartment with all amenities include car parking, lift's, security, etc.,",1514838130
https://www.olx.in/item/beautiful-house-g1-at-naim-nagar-iid-1517114130," 73,00,000",Telangana,Warangal,Hanamkonda,Houses & Villas,4+,4,Semi-Furnished,Ready to Move,Owner,134,134,1,-,1,-,East,-,"Good news to buyers..Beautiful house g+1. At Naim nagar, 134 yards...beside Amritha hospital..main road..3 bit..rents 25000 availble.contact me ..immediate sale.  72.5 lakhs last best deal...anyone interested..its gng to close the deal.wothin 2 days...  Call me on 7989580150..very good investment..hot centre area in city...it will increase price 50% in few months..",1517114130
https://www.olx.in/item/new-g2-house-200-sqy-only-slabs-yadav-nagar-hanamkonda-iid-1517080835," 72,00,000",Telangana,Warangal,Hanamkonda,Houses & Villas,4,4,Unfurnished,Under Construction,Dealer,4500,4500,3,-,-,-,North,G+2 House for sale,New G+2 House   200 sqy  Only slabs   Near yadav nagar petrol pump  KU bypass road   72 lakhs negotiable,1517080835
https://www.olx.in/item/1bhk-2bhk-flats-for-sale-in-madikonda-dharmasagar-road-warangal-iid-1514680914," 34,00,000",Telangana,Warangal,Hanamkonda,Apartments,2,2,Semi-Furnished,Ready to Move,Owner,1450,1450,3,2,1,50000,East,Gulmohar,"Project Highlights :-  -> Earth quake resistant reinforced cement concrete structure as per IS code with VSP/TATA/SAIL or equivalent make steel.  -> Main door: Teak wood frame and shutter or Teak-wood frame with both side teak veneer shutters.  -> Living hall : 2 x 2 Vitrified Tiles with skirting of reputed make(Kajaria/Asian/Johnson or equivalent).  Bed rooms,Kitchen and Toilet Flooring: Branded ceramic tiles on floor and walls(Kajaria/Asian/Johnson or equivalent).  -> Passenger lifts 2 numbers of reputed make with collapsible door.  ->0.43 Acres - Phase1, 0.47 Acres - Phase2.  ->No of Floors: 3 Floors + Stilt for parking.  ->2BHK and 3BHK apartments.  ->100% Vastu Complaint.",1514680914
https://www.olx.in/item/single-bedroom-with-2-bathrooms-with-car-parking-read-to-sale-iid-1516945546," 55,00,000",Telangana,Warangal,Hanamkonda,Farm Houses,2,2,Semi-Furnished,Ready to Move,Owner,450,450,1,1,1,-,East,J. Sridhar,Single bedroom with 2 bathrooms and car parking ready to sale total 150 sar. Yards...,1516945546
https://www.olx.in/item/4500009900000-iid-1516896508," 45,00,000",Telangana,Warangal,NGO Colony Phase 3,Farm Houses,2,3,Semi-Furnished,Ready to Move,Dealer,200,186,2,1,1,2000,North-West,srinivasa rao,wadepplli 100pt rod t NGOs colony,1516896508
https://www.olx.in/item/flat-for-sale-iid-1516711181," 18,00,000",Telangana,Warangal,Hanamkonda,Apartments,1,1,Furnished,Ready to Move,Owner,610,130,2,1,-,-,-,Flat for sale,A flat with 1 bhk with dining hall for sale in an apartment kameshwari nilayam at bharmanawada walkable distance from hanmkonda chowrastha,1516711181
https://www.olx.in/item/2-bhk-full-furnished-flat-with-car-parking-for-sale-iid-1516641036," 40,00,000",Telangana,Warangal,Hanamkonda,Apartments,2,2,Furnished,Ready to Move,Owner,1100,1100,5,2,1,1000,North-East,-,"2 BHK full furnished flat with car parking ,500 mts distance from main road hunter road, nandhi hills,pooja homes  Area:1100 sft with cupboards, security grill available for sale",1516641036
https://www.olx.in/item/all-types-of-build-houseapportmentsopen-lands-buying-selling-iid-1516569794," 23,000",Telangana,Warangal,Hanamkonda,Houses & Villas,2,2,Unfurnished,New Launch,Owner,200,200,2,2,1,1,East,Sunil constructions,Ventures available low cost &loan facility,1516569794
https://www.olx.in/item/250-yards-east-facing-iid-1516468533," 1,30,00,000",Telangana,Warangal,Hanamkonda,Houses & Villas,4,4,Semi-Furnished,Ready to Move,Owner,2496,2496,2,-,-,-,East,-,TIME PASSERS STRICTLY DON'T CONTACT,1516468533
https://www.olx.in/item/new-g1-west-loan-tittle-reddy-colony-vikas-school-hanamkonda-iid-1516281202," 1,00,00,000",Telangana,Warangal,Hanamkonda,Houses & Villas,3,4,Furnished,Ready to Move,Dealer,2900,2900,2,-,1,-,West,New House G+1 west face,New G+1 House   177 Sqy  Loan tittle   Ground floor hall double bedroom kichen   First floor siglebed room kichen   Fully furnished   1 crore Negotiable,1516281202
