URL,Price,State,District,City,Type,Bedrooms,Bathrooms,Furnishing,Status,Listed by,Builtup Area,Carpet Area,Total Floors,Floor No,Car Parking,Maintenance,Facing,Project Name,Description,AD ID
https://www.olx.in/item/sector-128-noida-3-bhk-mahagun-manorial-price-at-rs-243-cr-onwards-iid-1268555141," 2,43,00,270",Uttar Pradesh,Noida,Sector 123,Apartments,3,3,Unfurnished,Under Construction,Builder,2700.05,1940.05,-,-,-,-,-,Mahagun Manorial,"Mahagun Manorial | Luxury Apartments in Sector 128 Noida   Project RERA Registration Number UPRERAPRJ2051   Manorial Offers 180 degree vistas over the golf course, with uninterrupted views.",1268555141
https://www.olx.in/item/2-bhk-apartment-for-sale-in-noida-extension-at-mahagun-mantra-iid-1221736823," 32,00,390",Uttar Pradesh,Noida,Greater Noida West,Apartments,2,2,Unfurnished,Under Construction,Dealer,850.27,600.27,-,-,-,-,-,Mahagun Mantra,"2bhk spacious apartment, Pay only 10%, No EMI till possession, 14 life enhancing benefits (Wardrobe, AC, Modular Kitchen etc)",1221736823
https://www.olx.in/item/2bhk-luxurious-flats-prime-location-iid-1503309325," 27,50,000",Uttar Pradesh,Agra,Bodla,Apartments,2,2,Furnished,Under Construction,Builder,1050,850,3,3,1,1500,East,Shyam Ji Residency,"One flat also available at 1st floor price is 30 lakhs. 2bhk flats located at prime location near Kargil petrol pump. False ceiling with led lights, corp led light, ceiling fans, wooden  almirah, lcd cabinet, wall texture in each room and drawing room. Modular kitchen with chimney, all Godrej door locks, Hindware sanitary and taps in each bathroom , exhaust. All of the work done in high grade material. Free one covered car parking. Free electrification.",1503309325
https://www.olx.in/item/evergreen-villa-duplex-ready-to-move-iid-1518174890," 45,00,000",Uttar Pradesh,Varanasi,Chitaipur,Houses & Villas,3,2,Semi-Furnished,Ready to Move,Owner,1500,750,2,2,2,-,East,-,Evergreen Villa 3 BHK duplex ready to move without furniture 45 plus with furniture 50 lacs hurry up,1518174890
https://www.olx.in/item/1bhk-for-sale-in-indirapuram-iid-1517103383," 16,50,000",Uttar Pradesh,Ghaziabad,Indirapuram Shakti Khand 3,Builder Floors,1,1,Semi-Furnished,Ready to Move,Dealer,700,550,3,1,1,300,North-East,Shakti Khand 3,"1bhk for sale in Indirapuram in builder floor  Its a park facing plot in shakti khand 3 near G.D goenka school.  Amenities near flat  Park, gated community, hospital, schools, grocery stores....etc",1517103383
https://www.olx.in/item/1-bhk-for-sale-in-central-noida-iid-1514797426," 18,65,000",Uttar Pradesh,Noida,Sector 44,Apartments,1,1,Semi-Furnished,Ready to Move,Builder,600,500,-,-,1,-,North-East,-,Spacious Flats  Prime Location  10 mints from Metro station  Loan Available  Book now shift now,1514797426
https://www.olx.in/item/ready-to-move-3bhk-raj-nagar-extension-iid-1508210350," 42,92,000",Uttar Pradesh,Ghaziabad,Raj Nagar Extension,Apartments,3,2,Semi-Furnished,Ready to Move,Dealer,1480,820,14,13,1,2368,North-West,landcraft river heights,"A 3 bedroom  flat, located in Raj Nagar Extension, Ghaziabad, is available. It is an ready to move semifurnished flat located in river heights Situated in a prominent locality. The flat is on the 13th floor of the building. Aesthetically designed with vitrified flooring, this property has 2 bathrooms. The property also has 4 balconys  . The flat faces the north-west direction and has a good view of the locality. The flat is a freehold property and has a super built-up area of 1480 Sq. Ft. The flat is located in a corner society and offers good security. It offers a number of important facilities like club house/community center, kids play area, fitness centre/gym, lifts, park, water storage, security/fire alarm. The unit has 1 covered parking and full power backup. It has a water supply from the borewell/tank.",1508210350
https://www.olx.in/item/1-bhk-for-sale-iid-1514793939," 13,11,000",Uttar Pradesh,Noida,Noida Extension,Apartments,1,2,Semi-Furnished,Ready to Move,Builder,600,550,-,-,1,-,North-East,Sai Upwan 2,Spacious Flats  Prime Location  Ready to Move in  Loan Available.  Book now shift now.,1514793939
https://www.olx.in/item/balaji-enclave-govind-puram-ghaziabad-iid-1518163243," 24,00,000",Uttar Pradesh,Ghaziabad,Govindpuram,Builder Floors,3,2,Semi-Furnished,Ready to Move,Builder,1600,1350,2,1,1,200,East,Himalaya builder,3 bhk indipandant floor with coverd car parking,1518163243
https://www.olx.in/item/107-gaj-independent-house-iid-1518162373," 40,50,000",Uttar Pradesh,Noida,Noida Extension,Houses & Villas,3,3,Semi-Furnished,Ready to Move,Builder,1150,1000,1,1,1,500,East,Green Home,107 Gaj Independent House for sale in Noida Extension on Prime location near SKS world school.,1518162373
