URL,Price,State,District,City,Type,Bedrooms,Bathrooms,Furnishing,Status,Listed by,Builtup Area,Carpet Area,Total Floors,Floor No,Car Parking,Maintenance,Facing,Project Name,Description,AD ID
https://www.olx.in/item/house-sell-at-chakaltaadrapurulia-iid-1514894915," 15,00,000",West Bengal,Adra,Baniyasola,Houses & Villas,4+,2,Furnished,Ready to Move,Owner,3000,7000,-,2,0,0,North,House,House sell. 8 bedrooms.1 big kitchen.2 tube well.open big space both front and back side,1514894915
https://www.olx.in/item/an-architect-designed-well-constructed-villa-on-4-iid-1271044075," 85,00,000",West Bengal,Asansol MC,Chirstanpara,Houses & Villas,3,4,Semi-Furnished,Ready to Move,Owner,2200,1600,2,-,2,-,South-West,-,"An architect designed well constructed villa on 4 kottah land in Hillview East Asansol.Close to United Bank, Axis Bank ATM and Schools-St. Patrick's, St. Vincent's. Villa facing a park. Genuine buyers directly contact over phone only. Chats/SMS will not be responded. Contact-nine 4 three 4 three 9 one 2 five 2.Brokers please excuse.",1271044075
https://www.olx.in/item/house-with-land-for-sale-in-kolkata-iid-1516169005," 35,00,000",West Bengal,Kolkata,Bhasa Para,Houses & Villas,2,1,Unfurnished,Ready to Move,Owner,1800,1080,1,1,1,0,West,-,"HOUSE HAS 2 BEDROOMS, 1 DINING,1 BATHROOM AND KITCHEN AND GARDEN.    ELECTRICITY AND 24 HRS WATER AVAILABLE.    PARKING SPACE AVAILABLE.    ATTRACTIVE LOCATION.   2 MINS WALKING DISTANCE FROM BAGERHAT POLE BUS STOP, NEAR BHASA, DIAMOND HARBOUR ROAD. PS BISHNUPUR.",1516169005
https://www.olx.in/item/house-for-sale-iid-1517215097," 40,00,000",West Bengal,Pandua,Namajgram,Houses & Villas,4,2,Furnished,Ready to Move,Owner,2200,2100,2,-,1,00,North,-,"Bedroom 4  Bathroom 2  Dining 1  Garage 1  Markets, Banks, Hospital within 2 Min.  Panduab Railway Station 5 Min.  Near Benepara, Kalna Road.",1517215097
https://www.olx.in/item/my-1-yr-flat-wat-to-sell-iid-1516960502," 26,00,000",India,West Bengal,Cooch Behar,Builder Floors,2,2,Furnished,Ready to Move,Owner,931,620,4,3,0,930,East,Shebi Mansion,I want to sell my 2 bhk flat near boxibari more in koch behar town. Flat situated in 3rd floor and 930 square feet with super built area.,1516960502
https://www.olx.in/item/house-for-sale-iid-1517274861," 90,00,000",India,West Bengal,Birpara Tea Garden,Houses & Villas,3,1,-,-,-,31000,864,-,-,-,-,-,-,house is at college road in b  irpara pin735204(near dooars nursing home)beside main road (front).gunuine  buyer can call me at 9.7.3.4.0.0.5.4.3.6,1517274861
https://www.olx.in/item/big-1555-sqft-ready-to-move-flat-at-topobon-iid-1513192867," 28,00,000",West Bengal,Durgapur,Bamunara,Apartments,3,2,Semi-Furnished,Ready to Move,Builder,1555,1230,11,4,-,1200,South-East,Arauank Devlopers,Its 1555 sqft 3bhk flat at topobon city durhapur near muchipara .its a big flats in durgapur .its a complex type flats at topobon ..  All aminitis in this project like   Swingming pool   Jim   Comercial  Cap service  Lake   Community hall   Clup   Doctor chember   Call nine five six four three nine there one two three ...,1513192867
https://www.olx.in/item/samriddhi-residency-at-muchiparadurgapur-12-2bhk-3bhk-flats-iid-1046883511," 19,04,850",West Bengal,Durgapur,Muchipara,Apartments,2,2,Semi-Furnished,Under Construction,Builder,747,597,7,2,1,1000,South,Samriddhi Residency,"Project Name : Samriddhi Residency  Developer : Samridhi Housing Pvt. Ltd. Powered by Mondal Homes  Project Locations -: Beside Sanjeevani Nursing Home, J.P Avenue , Muchipara (Towards Durgapur Station), Durgapur-713212  Location is the 1st thing to choose Flats in Durgapur, Durgapur's Most Popular Locality with all Necessary things just in Door Step at Durgapur - 12.  Flat Type :  Block A - 1084 Sq.foot = 3BHK  Block B - 768 Sq.foot = 2 BHK  Block C - 761 Sq.foot = 2 BHK  Block D - 1078 Sq.foot = 3 BHK  Block E - 780 Sq.foot = 2 BHk  Block F - 747 Sq.foot = 2 BHK  Block G - 776 Sq.foot = 2 BHK  Block H - 758 Sq.foot = 2 BHK  Block I - 1094 Sq.foot = 3BHK  Block J - 1048 Sq.foot = 3BHK  Rate : Rs. 2550 / Sq.foot",1046883511
https://www.olx.in/item/2-bhk-apartment-sell-in-bamunara-near-muchipara-iid-1518003890," 12,80,000",West Bengal,Durgapur,Bamunara,Apartments,2,2,Unfurnished,Ready to Move,Builder,800,640,6,1,1,-,South,-,"2 bhk apartment sell in Bamunara near Muchipara.  Location - bus stand, auto stand 1 min walking distance, ATM 5 min,  School - Durgapur public school, Delhi public school, steel carmel,  Amenities-24 Hrs Drinking water supplyed, hi speed morden elevator, 24 Hrs.Secruty service, coverd and open car parking facilities.",1518003890
https://www.olx.in/item/urgent-flat-sell-iid-1517591412," 7,90,000",West Bengal,Durgapur MC,Gopalpur,Apartments,1,1,Unfurnished,Ready to Move,Owner,490,430,6,3,0,780,South-East,Keshob kanon,One bhk flat,1517591412
