URL,Price,State,District,City,Type,Bedrooms,Bathrooms,Furnishing,Status,Listed by,Builtup Area,Carpet Area,Total Floors,Floor No,Car Parking,Maintenance,Facing,Project Name,Description,AD ID
https://www.olx.in/item/luxurious-flat-with-pvt-terrace-iid-1513780457," 90,00,000",Andaman & Nicobar Islands,Port Blair,AAI Colony,Apartments,2,2,Furnished,Ready to Move,Owner,1453,1162,4,3,1,2500,East,D&K City,"Fully furnished 2 BHK flat has 1 master bedrooms with fixed king size beds, mattress, Damro dressing table, wardrobe, sliding cupboards and 1 ton LG air-conditioner.  2nd Bedroom has bunk beds specially designed for children in eye catching yellow and orange mica. It has full length Jungle book wall paper fixed in entire wall. No ceiling fans, 1 ton air-conditioner and wall fans make it safest for children.  Spacious Kitchen has dual tone mica finished cupboards, Almirah and modular kitchen with in built sink, wash basin, LPG storage space and wet dish hanger.  Living room has a plush sofa set with black leatherette finish. Damro center table, TV table and corner table for telephones. All black finish.  2 spacious bathrooms with WC, shower and geysers. One bathroom attached to master bedroom and other one common access from dining place.  A spacious dinning place exists attached to kitchen in main hall with a beautiful black colour 6 pax dining  table.  Main highlight of this flat is it's attached private terrace. There is a 926 sq.ft.of undisturbed exclusive terrace space in front face of the building giving clear view of Veer Savarkar airport and greenery all around.it has beautiful garden (flower pots), swing for children and a multi gym. Relaxing Chairs and center tables are attractive. Sitting in the terrace one can view entire entry area of D&K City from block A to C and the main road.  Perhaps it is the best positioned flat in entire D&K City.",1513780457
https://www.olx.in/item/hdhfjfhfrdsdfdmxif-iid-1513678253," 3,00,00,000",India,Andaman & Nicobar Islands,Tarasa Island,Houses & Villas,1,1,Unfurnished,Under Construction,Owner,90,20,14,258,0,5,East,Vedivechamkovil house,A thing that is it,1513678253
https://www.olx.in/item/double-storyed-rcc-building-iid-1513488970," 95,00,000",India,Andaman & Nicobar Islands,Garacharma,Houses & Villas,4+,4+,Unfurnished,Ready to Move,Owner,1500,3000,2,-,2,-,-,-,200 sqn Land with Double storyed RCC building at Garacharma,1513488970
https://www.olx.in/item/payyanakkal-iid-1513468631," 90,00,000",India,Andaman & Nicobar Islands,Bakultala,Farm Houses,4,4,Furnished,New Launch,Builder,2,4,1650,340,1,-,East,Nishad,Njkyfglkgoo,1513468631
https://www.olx.in/item/luxurious-flat-with-pvt-terrace-iid-1513780457," 90,00,000",Andaman & Nicobar Islands,Port Blair,AAI Colony,Apartments,2,2,Furnished,Ready to Move,Owner,1453,1162,4,3,1,2500,East,D&K City,"Fully furnished 2 BHK flat has 1 master bedrooms with fixed king size beds, mattress, Damro dressing table, wardrobe, sliding cupboards and 1 ton LG air-conditioner.  2nd Bedroom has bunk beds specially designed for children in eye catching yellow and orange mica. It has full length Jungle book wall paper fixed in entire wall. No ceiling fans, 1 ton air-conditioner and wall fans make it safest for children.  Spacious Kitchen has dual tone mica finished cupboards, Almirah and modular kitchen with in built sink, wash basin, LPG storage space and wet dish hanger.  Living room has a plush sofa set with black leatherette finish. Damro center table, TV table and corner table for telephones. All black finish.  2 spacious bathrooms with WC, shower and geysers. One bathroom attached to master bedroom and other one common access from dining place.  A spacious dinning place exists attached to kitchen in main hall with a beautiful black colour 6 pax dining  table.  Main highlight of this flat is it's attached private terrace. There is a 926 sq.ft.of undisturbed exclusive terrace space in front face of the building giving clear view of Veer Savarkar airport and greenery all around.it has beautiful garden (flower pots), swing for children and a multi gym. Relaxing Chairs and center tables are attractive. Sitting in the terrace one can view entire entry area of D&K City from block A to C and the main road.  Perhaps it is the best positioned flat in entire D&K City.",1513780457
https://www.olx.in/item/hdhfjfhfrdsdfdmxif-iid-1513678253," 3,00,00,000",India,Andaman & Nicobar Islands,Tarasa Island,Houses & Villas,1,1,Unfurnished,Under Construction,Owner,90,20,14,258,0,5,East,Vedivechamkovil house,A thing that is it,1513678253
https://www.olx.in/item/double-storyed-rcc-building-iid-1513488970," 95,00,000",India,Andaman & Nicobar Islands,Garacharma,Houses & Villas,4+,4+,Unfurnished,Ready to Move,Owner,1500,3000,2,-,2,-,-,-,200 sqn Land with Double storyed RCC building at Garacharma,1513488970
https://www.olx.in/item/payyanakkal-iid-1513468631," 90,00,000",India,Andaman & Nicobar Islands,Bakultala,Farm Houses,4,4,Furnished,New Launch,Builder,2,4,1650,340,1,-,East,Nishad,Njkyfglkgoo,1513468631
https://www.olx.in/item/luxurious-flat-with-pvt-terrace-iid-1513780457," 90,00,000",Andaman & Nicobar Islands,Port Blair,AAI Colony,Apartments,2,2,Furnished,Ready to Move,Owner,1453,1162,4,3,1,2500,East,D&K City,"Fully furnished 2 BHK flat has 1 master bedrooms with fixed king size beds, mattress, Damro dressing table, wardrobe, sliding cupboards and 1 ton LG air-conditioner.  2nd Bedroom has bunk beds specially designed for children in eye catching yellow and orange mica. It has full length Jungle book wall paper fixed in entire wall. No ceiling fans, 1 ton air-conditioner and wall fans make it safest for children.  Spacious Kitchen has dual tone mica finished cupboards, Almirah and modular kitchen with in built sink, wash basin, LPG storage space and wet dish hanger.  Living room has a plush sofa set with black leatherette finish. Damro center table, TV table and corner table for telephones. All black finish.  2 spacious bathrooms with WC, shower and geysers. One bathroom attached to master bedroom and other one common access from dining place.  A spacious dinning place exists attached to kitchen in main hall with a beautiful black colour 6 pax dining  table.  Main highlight of this flat is it's attached private terrace. There is a 926 sq.ft.of undisturbed exclusive terrace space in front face of the building giving clear view of Veer Savarkar airport and greenery all around.it has beautiful garden (flower pots), swing for children and a multi gym. Relaxing Chairs and center tables are attractive. Sitting in the terrace one can view entire entry area of D&K City from block A to C and the main road.  Perhaps it is the best positioned flat in entire D&K City.",1513780457
https://www.olx.in/item/payyanakkal-iid-1513468631," 90,00,000",India,Andaman & Nicobar Islands,Bakultala,Farm Houses,4,4,Furnished,New Launch,Builder,2,4,1650,340,1,-,East,Nishad,Njkyfglkgoo,1513468631
https://www.olx.in/item/double-storyed-rcc-building-iid-1513488970," 95,00,000",India,Andaman & Nicobar Islands,Garacharma,Houses & Villas,4+,4+,Unfurnished,Ready to Move,Owner,1500,3000,2,-,2,-,-,-,200 sqn Land with Double storyed RCC building at Garacharma,1513488970
https://www.olx.in/item/hdhfjfhfrdsdfdmxif-iid-1513678253," 3,00,00,000",India,Andaman & Nicobar Islands,Tarasa Island,Houses & Villas,1,1,Unfurnished,Under Construction,Owner,90,20,14,258,0,5,East,Vedivechamkovil house,A thing that is it,1513678253
https://www.olx.in/item/hdhfjfhfrdsdfdmxif-iid-1513678253," 3,00,00,000",India,Andaman & Nicobar Islands,Tarasa Island,Houses & Villas,1,1,Unfurnished,Under Construction,Owner,90,20,14,258,0,5,East,Vedivechamkovil house,A thing that is it,1513678253
https://www.olx.in/item/double-storyed-rcc-building-iid-1513488970," 95,00,000",India,Andaman & Nicobar Islands,Garacharma,Houses & Villas,4+,4+,Unfurnished,Ready to Move,Owner,1500,3000,2,-,2,-,-,-,200 sqn Land with Double storyed RCC building at Garacharma,1513488970
https://www.olx.in/item/luxurious-flat-with-pvt-terrace-iid-1513780457," 90,00,000",Andaman & Nicobar Islands,Port Blair,AAI Colony,Apartments,2,2,Furnished,Ready to Move,Owner,1453,1162,4,3,1,2500,East,D&K City,"Fully furnished 2 BHK flat has 1 master bedrooms with fixed king size beds, mattress, Damro dressing table, wardrobe, sliding cupboards and 1 ton LG air-conditioner.  2nd Bedroom has bunk beds specially designed for children in eye catching yellow and orange mica. It has full length Jungle book wall paper fixed in entire wall. No ceiling fans, 1 ton air-conditioner and wall fans make it safest for children.  Spacious Kitchen has dual tone mica finished cupboards, Almirah and modular kitchen with in built sink, wash basin, LPG storage space and wet dish hanger.  Living room has a plush sofa set with black leatherette finish. Damro center table, TV table and corner table for telephones. All black finish.  2 spacious bathrooms with WC, shower and geysers. One bathroom attached to master bedroom and other one common access from dining place.  A spacious dinning place exists attached to kitchen in main hall with a beautiful black colour 6 pax dining  table.  Main highlight of this flat is it's attached private terrace. There is a 926 sq.ft.of undisturbed exclusive terrace space in front face of the building giving clear view of Veer Savarkar airport and greenery all around.it has beautiful garden (flower pots), swing for children and a multi gym. Relaxing Chairs and center tables are attractive. Sitting in the terrace one can view entire entry area of D&K City from block A to C and the main road.  Perhaps it is the best positioned flat in entire D&K City.",1513780457
https://www.olx.in/item/payyanakkal-iid-1513468631," 90,00,000",India,Andaman & Nicobar Islands,Bakultala,Farm Houses,4,4,Furnished,New Launch,Builder,2,4,1650,340,1,-,East,Nishad,Njkyfglkgoo,1513468631
