URL,Price,State,District,City,Type,Bedrooms,Bathrooms,Furnishing,Status,Listed by,Builtup Area,Carpet Area,Total Floors,Floor No,Car Parking,Maintenance,Facing,Project Name,Description,AD ID
https://www.olx.in/item/risali-daya-nagar-main-3bhk-swatantra-bangla-east-facing-prime-locatn-iid-1508218874," 41,00,000",Chhattisgarh,Bhilai,Daya Nagar,Houses & Villas,3,3,Semi-Furnished,Under Construction,Owner,1500,1200,2,-,1,0,East,-,"1)Total plot area- 20*60 =1200 sq ft ,diverted plot East facing  2)construction area =1500  3)building permission included.  4)boring included.  5)1 hp branded CRI pump included  6)light connection included  7)only red bricks NK-HB used  8)all banks finance facility available  9)all branded materials used  10)drawing design included  11)booking amout 51000/-  12)address- Daya nagar risali,  7.0.0.0.2.6.5.9.9.5",1508218874
https://www.olx.in/item/tc-approved-mega-projectwith-high-end-houses-iid-1505987665," 33,00,000",Chhattisgarh,Bilaspur,Abhishek Vihar,Houses & Villas,3,3,Furnished,Under Construction,Owner,1868,1500,2,0,1,-,East,Bncity village lokhandi,"50 feet wide road  3 Garden  Temple  Commercial area  Kids play area   Security room   Led street lights   Lush greenery   Water supply and other ameneties  Why settle for small houses in city in crowded area when you can get your big house at lower price and better area  Bncity is designed to accomodate people so u feel your in a proper society.with the prople from departments like secl,courts,teachers and other government officials   It is loctaed next to ongoing sakri turkadih 4 lane by pass which will give u high return on your investment   So come invest your dream and money with us and own your house",1505987665
https://www.olx.in/item/2-bhk-swatantra-borsi-road-prime-location-near-rajwada-iid-1205585693," 25,00,000",Chhattisgarh,Durg,Borsi Nagar,Houses & Villas,2,2,Semi-Furnished,Under Construction,Owner,1250,1100,1,-,1,-,North,-,"1) Plot Area 20 Ka Front 56 Ka Depth =1120sq ft, 1000 ft jamin extra milega  2) north facing .  3) Bank Finance Available  4) All Branded Materials Used.  5)front Road 25ft.  6) Only branded Nk-HB red Bricks Used.  7) Indipendent Boring With 1hp Cri Pump.  8)booking Amt 51000/-  9) Address- near rajwada palace or cec engg college nagar ,dhanora , durg -bhilai-7.0.0.0.2.6.5.9.9.5",1205585693
https://www.olx.in/item/2-bhk-flat-for-sale-iid-1517328074," 16,00,000",Chhattisgarh,Raipur,Bhanpuri,Apartments,2,1,Unfurnished,Ready to Move,Owner,590,590,8,6,1,-,South-East,Anugrah,"2 bhk flat, lift facility available, raipur station 5 km, swimming pool available,club facility  available",1517328074
https://www.olx.in/item/3-bhk-for-sale-iid-1517324601," 50,00,000",Chhattisgarh,Raipur,Shivanand Nagar,Houses & Villas,3,3,Semi-Furnished,Ready to Move,Owner,1900,1800,2,2,1,0,East,None,We have 3 bhk bungalow duplex 1200 land with 1800 buildup with false ceiling and bore,1517324601
https://www.olx.in/item/2bhk--iid-1517323320," 34,50,000",Chhattisgarh,Raipur,Mathpurena,Builder Floors,2,2,Unfurnished,Ready to Move,Builder,900,900,1,1,1,0,West, ,  1      2bhk                      7/0/0/0/1/1/6/1/8/1,1517323320
https://www.olx.in/item/urja-park-ke-samne-rajkishore-nagar-iid-1517322156," 21,50,000",Chhattisgarh,Bilaspur,Raj Kishore Nagar,Builder Floors,2,2,Unfurnished,New Launch,Builder,900,450,2,-,-,-,North,-,2bhk and 3bhk duplex house,1517322156
https://www.olx.in/item/purana-makan-chaiye-iid-1517317585," 19,00,000",Chhattisgarh,Bilaspur,Mangla,Builder Floors,2,2,Furnished,Ready to Move,Owner,2000,1000,1,1,1,500,East,Self,Purana makan bilaspur m chaiye,1517317585
https://www.olx.in/item/flat-2-bhk-iid-1517313702," 13,00,000",Chhattisgarh,Raipur,Avanti Vihar Colony,Apartments,2,1,Semi-Furnished,Ready to Move,Dealer,600,500,3,2,2,400,North-East,Housing board,"2 BHK flat in semi frnished , colony well developed 24 hours Guard security facility CCTV camera facility available contact fast",1517313702
https://www.olx.in/item/3bhk--iid-1517313390," 32,00,000",Chhattisgarh,Raipur,Mathpurena,Builder Floors,3,3,Unfurnished,Ready to Move,Builder,1650,811,2,2,1,0,West, ,  1    3 bhk              pop            7/0/0/0/1/1/6/1/8/1,1517313390
