URL,Price,State,District,City,Type,Bedrooms,Bathrooms,Furnishing,Status,Listed by,Builtup Area,Carpet Area,Total Floors,Floor No,Car Parking,Maintenance,Facing,Project Name,Description,AD ID
https://www.olx.in/item/3-bhk-flat-3-side-open-raj-nagar-part-1-palam-colony-delhi-iid-1506673080," 47,00,000",Delhi,Delhi,Palam,Builder Floors,3,2,Semi-Furnished,Ready to Move,Owner,1123,1123,4,3,1,200,South-East,"3 BHK flat, 3 side open builder flat","It's a 3 BHK, 3 Side open, 3 Balcony, 2 attached big Bathroom, all doors are Double safety doors with Iron n wooden,  One car parking, MCD n bore well water connections. It's a registry n loanable property, only 4 flats in the building n this is on 3rd floor, it's also East, West n south facing. Flat is available at Raj Nagar Part 1, Palam colony, very near to main road, market, Metro station,  bus stand, School , Bank etc. This flat is 6 year old ready to move.",1506673080
https://www.olx.in/item/3bhk-4525l-near-to-metro-free-hold-in-uttam-nagar-om-associates-iid-1511846076," 45,25,000",Delhi,Delhi,Uttam Nagar,Builder Floors,3,2,Semi-Furnished,Ready to Move,Builder,912,908,4,1,1,300,East,om associates,"xv.Audio door bell security system also available,  I. There are Three bed room with wide balcony.  Ii. Drawing room with fall ceiling & texture paint  Iii. Modern and modular kitchen with chimney and other attachments.  Iv. Tow bath room with tile work up to roof height and branded fittings.  V. Car parking with Lift available.  Vi. Loan facility also available in this building from (Indiabulls/iifl/dhfl)  Vii. Separate electric and water connections with appropriate supply.  Viii. Wall to wall pop , Texture paint & tiles work on front elevation.  ix. Marble & vitrified tiles flooring, Kalinga wire, Branded electrical fittings.  x. Building structure according to height with branded fittings and attachment .  Xi. Easy approach to public transport and market.  XII.90% to 95% loan facility available.  XIII. Construction done in the supervision of architects and structural engineers  Xiv.Asian paints, Royal  metallic texture paint in every room,",1511846076
https://www.olx.in/item/3bhk-4010l-free-hold-ready-to-move-in-dwarka-mor-iid-1511838890," 40,10,000",Delhi,Delhi,Dwarka Mor,Builder Floors,3,2,Semi-Furnished,Ready to Move,Builder,910,901,4,1,1,300,East,om associates,"xv.Audio door bell security system also available,  I. There are Three bed room with wide balcony.  Ii. Drawing room with fall ceiling & texture paint  Iii. Modern and modular kitchen with chimney and other attachments.  Iv. Tow bath room with tile work up to roof height and branded fittings.  V. Car parking with Lift available.  Vi. Loan facility also available in this building from (Indiabulls/iifl/dhfl)  Vii. Separate electric and water connections with appropriate supply.  Viii. Wall to wall pop , Texture paint & tiles work on front elevation.  ix. Marble & vitrified tiles flooring, Kalinga wire, Branded electrical fittings.  x. Building structure according to height with branded fittings and attachment .  Xi. Easy approach to public transport and market.  XII.90% to 95% loan facility available.  XIII. Construction done in the supervision of architects and structural engineers  Xiv.Asian paints, Royal  metallic texture paint in every room,",1511838890
https://www.olx.in/item/sell-for-argent-very-good-condition-iid-1517738672," 24,00,000",Delhi,Delhi,Karala,Houses & Villas,4+,3,Semi-Furnished,Ready to Move,Owner,520,480,2,-,1,-,North-West,Sell for argent,Sell for argent,1517738672
https://www.olx.in/item/3-bhk-top-floor-available-with-roof-right-iid-1511692355," 42,32,000",Delhi,Delhi,Mohan Garden,Apartments,3,2,Semi-Furnished,Ready to Move,Builder,675,550,4,4,1,657,-,-,"3 BHK situated in one of the premier locations on F-Block, Rama Park Road, Mohan Garden, Near to Dwarka Mod to Nawada metro station, Mohan Garden, Uttam Nagar, New Delhi. It's airy and well ventilated with 2 side 30-0 or 20-0 WD open road. Three Bedrooms with Two nice washrooms and with one wide drawing room and false ceiling in all rooms with 1 balcony. Modular kitchen, Wall fitted wooden wardrobe, parking space, Bathroom with tile work with branded fittings and attachments, Textured paint / Pop Design in drawing room and plastic paint other rooms, Separate electricity meter, Water connection, Ground water facility, Separate water tank, Vitrified flooring, Easy access to all public transport, Making the location extremely easy to commute and connected to all parts of the city.  NEIGHBORHOOD  HOSPITAL	 0 KM  IGI AIRPORT	8 KM  MAIN MARKET	WALKING DISTANCE  RAILWAY STATION	 7 KM  SCHOOL/ COLLEGES	0.2 KM  METRO STATION	 WALKING DISTANCE",1511692355
https://www.olx.in/item/karol-bagh-commercial-building-for-sale-iid-1517737848," 1,50,00,000",Delhi,Delhi,Karol Bagh,Houses & Villas,3,4,Unfurnished,Under Construction,Owner,300,270,3,3,1,500,South-West,commercial building for sale,5A karol bagh 30 square feet commercial builfing for sale all floor ground floor 1st floor 2nd floor 3rd floor,1517737848
https://www.olx.in/item/corner-80-sq-yd-front-side-25-wd-20-wd-front-side-road-iid-1511693218," 42,11,000",Delhi,Delhi,Dwarka Mor,Apartments,3,2,Furnished,Ready to Move,Owner,720,627,4,1,1,752,-,-,"3 BHK L-TYPE BUILDER FLOOR SITUATED IN ONE OF THE PREMIER LOCATION ON MS BLOCK, NEAR OK MODAL PUBLIC SCHOOL, JAIN ROAD, MOHAN GARDEN, NEAR TO DWARKA  MOD METRO STATION, UTTAM NAGAR, NEW DELHI. IT'S AIRY AND WELL VENTILATED WITH 25-0 To 20-0 WD. OPEN ROAD. EASY ACCESS TO ALL PUBLIC TRANSPORT, MAKING THE LOCATION EXTREMELY EASY TO COMMUTE AND CONNECTED TO ALL PARTS OF THE CITY.",1511693218
https://www.olx.in/item/govt-approved-property-with-the-benifit-of-subsidy-iid-1515489638," 12,56,000",Delhi,Delhi,Kashmere Gate,Builder Floors,1,1,Furnished,Ready to Move,Builder,500,450,3,3,1,0,North-East,Sharadha Saburi Apartments,1. bhk 11.25 Lakh To 15.50 Lakh   2. Bhk 17 Lakh To 25 Lakh.  3. Bhk 27Lakh To 34 Lakh.   This property is Approved by government and 267000 Lakh subsidy benefits by Pardhan mantri Awas yojana.   Saibuilder and  promoter MM.59 Dlf Ankur Vihar Near delhi police training center Contact no.8447107004 Mor: details please visit www.saibuilder.co.in  .,1515489638
https://www.olx.in/item/anajmandi-se-500-m-pe-sabji-mandi-market-bus-terminal-sirf-800-miter-iid-1517736183," 19,00,000",Delhi,Delhi,Najafgarh,Houses & Villas,3,2,Unfurnished,Ready to Move,Owner,50,50,2,-,0,0,South,-,Best property for living,1517736183
https://www.olx.in/item/uttam-nagar-iid-1517736144," 26,00,000",Delhi,Delhi,Om Vihar,Builder Floors,3,2,Semi-Furnished,Ready to Move,Owner,92,92,4,00,0,00,North,Owner,A good home and a ready to move house,1517736144
https://www.olx.in/item/4-bhk-corner-top-floor-with-roof-right-1-car-parking-iid-1511695395," 85,41,000",Delhi,Delhi,Nawada,Apartments,4,3,Semi-Furnished,Ready to Move,Owner,1305,1167,4,4,1,742,-,-,"4 BHK BUILDER FLOOR SITUATED IN ONE OF THE PREMIER LOCATION ON GURUDAWARA ROAD, NEAR METRO PILLAR NO 750. MOHAN GARDEN, NEAR TO DWARKA  MOD METRO STATION, UTTAM NAGAR, NEW DELHI. IT'S AIRY AND WELL VENTILATED WITH 10-0 WD. OPEN ROAD. EASY ACCESS TO ALL PUBLIC TRANSPORT, MAKING THE LOCATION EXTREMELY EASY TO COMMUTE AND CONNECTED TO ALL PARTS OF THE CITY.  NEIGHBORHOOD  HOSPITAL	 0 KM  IGI AIRPORT	8 KM  MAIN MARKET	WALKING DISTANCE  RAILWAY STATION	 7 KM  SCHOOL/ COLLEGES	0.2 KM  METRO STATION	 WALKING DISTANCE",1511695395
https://www.olx.in/item/3-bhk-apartment-in-dwarka-iid-1517734109," 1,55,00,000",Delhi,Delhi,Dwarka Sector 23,Apartments,3,3,Semi-Furnished,Ready to Move,Dealer,2000,1450,14,5,1,3000,North-East,Himmat Apartment,Well Furnished 3 BHK Apartment in himmant apartment Dwarka Sec 22  on 2nd floor,1517734109
https://www.olx.in/item/1-bhk-front-side-30-ft-open-road-90-bank-loan-iid-1517734105," 18,51,000",Delhi,Delhi,Uttam Nagar,Builder Floors,1,1,Semi-Furnished,Ready to Move,Builder,500,480,8,3,0,0,East,BEST BUILDER,"I. 1 BHK 'Front Side 30 FT 'Open Road  '90% BANK LOAN  II.	Drawing room with fall ceiling & Texture Paint  III.	Modern and modular kitchen with chimney and other attachments.  IV.	ONE bath room with tile work upto roof height and branded fittings.  VI.	Wall to wall pop , texture paint & tiles work on front elevation.  VII.	Marble & Vitrified tiles flooring, Kalinga wire, Branded electrical fittings.  VIII.	Separate electric and water connections with appropriate supply.  IX.	Building structure according to height with branded fittings and attachment .  X.	Loan facility also avaialble in this building from  XI.	Easy approach to public transport and market",1517734105
https://www.olx.in/item/2-bhk-semi-furnished-flat-with-all-facility-in-solanki-road-iid-1517733789," 22,20,710",Delhi,Delhi,Uttam Nagar,Builder Floors,2,1,Semi-Furnished,Ready to Move,Builder,500,490,4,1,0,00,East,Star homes,"A east facing 2 bhk ready to move flat is available in the promising locality. It is a ready to move in spacious flat and is located on the 11th floor. Every single detail of the flat is carefully designed. This property offers quality specifications such as lift(S), park, visitor parking, water storage, intercom facility, security/fire alarm, internet/wi-Fi connectivity, water purifier, piped-Gas,  fitness centre/gym, water softening plant, club house/community center and rain water harvesting. The property price is all inclusive. It has 2 bathroom(S). The flat comprises of 3 balcony(S) and has vitrified flooring. 1 covered parking. Full power back up. 24x7 water supply from borewell/tank.",1517733789
https://www.olx.in/item/3-bhk-apartment-without-any-brocakge-iid-1517733436," 51,00,000",Delhi,Delhi,Dwarka Sector 8,Apartments,3,2,Semi-Furnished,Under Construction,Builder,900,900,4,2,1,180,-,Shubh Apartment,AUTO_DES This spacious Builder Floor Apartment is located at 1st floor in a tower of total 4 floors. The Builder Floor Apartment is newly constructed.,1517733436
https://www.olx.in/item/good-condition-iid-1517733184," 15,00,000",Delhi,Delhi,Mukundpur,Houses & Villas,1,1,Unfurnished,Ready to Move,Owner,10,10,1,1,0,-,East,All ready houes h too ye sell karna chata hu fir khai aur plot le na h,Clean home,1517733184
