URL,Price,State,District,City,Type,Bedrooms,Bathrooms,Furnishing,Status,Listed by,Builtup Area,Carpet Area,Total Floors,Floor No,Car Parking,Maintenance,Facing,Project Name,Description,AD ID
https://www.olx.in/item/visit-now-2nd-home-at-kadi-iid-1516213457," 33,00,000",Gujarat,Ahmedabad,Sanand,Houses & Villas,1,1,Unfurnished,Under Construction,Builder,1440,1440,-,-,-,-,-,Suryam Repose,"Suryam Repose Proejct Located next to AUDA Limit of Ahmedabad. Project locations is connected with all the road infrastructure to all the Four Cities like Ahmedabad, Sanand, Kaid and Viramgam in the vicinity of 30 minutes drive .  Suryam Repose located at very startagic Locations from all the Industrial & Automobile Industrial Area like Sanand , vithalpur, Becharjai. All the Road Infrastructure is very well connected to Repose from all the industrial area. So Future of the Area is very bright and it is an opprotunity to get good return on Investment.",1516213457
https://www.olx.in/item/3bhk-flat-for-sell-in-just-48-lacs-in-vasupujya-15-pavilion-iid-1503908024," 48,00,000",Gujarat,Surat,Jahangirabad,Apartments,3,3,Unfurnished,Ready to Move,Dealer,1600,880,5,3,1,-,-,Vasupujya 15 Pavillion,"A 3 bedroom resale flat, located in jahangirabad, surat, is available. It is a ready to move in flat located in vasupujya 15 pavilions. Situated in a prominent locality, it is a 0-1 year old property, which is in its prime condition. The flat is on the 3rd floor of the building. Aesthetically designed, this property has 3 bathroom(S). The property also has 1balcony(S). The flat has a good view of the locality. The flat is a freehold property and has a super built-Up area of 1620 sq. Ft. The flat is located in a gated society and offers good security. It offers a number of important facilities like lift(S), park, visitor parking, water storage and intercom facility. The unit has 1 open parking and partial power backup. It has a water supply from the municipal corporation and borewell/tank. For details contact me.",1503908024
https://www.olx.in/item/wonderful-bungalow-in-vinayak-park-main-chowk-iid-1516507290," 80,00,000",Gujarat,Jamnagar,Patelvari,Houses & Villas,4,4,Semi-Furnished,Ready to Move,Owner,1991,1380,2,-,3+,0,North-East,-,"A very nice bungalow for sale   Vinayak Park, Garbi chawk  # Owned by a Doctor Family  # 4 Side Open Beautifully Located  # Facing Garbi chowk and Big Ground  # Corner Plot, Round Open  # Big Garden, Big Common plot/Vadi  # Big Living room 21  12 ft.  # Dining hall 11  9 ft.  # Big n  furnished  Kitchen 11  8 ft.  # Lower Bed room with attached bath 12  10 ft  # Wash area  # Common Toilet  # 4 seater Swing in Living room  # Stairs from the Living room  # 3 Rooms in the upper floor  # 2 separate Big Bathrooms in upper floor  # New Buildup of the Upper rooms  # House is build in year 2000   # Plot 1750 Sqft  # Carpet: 1380  # Super  Buildup: 1991 Sqft  # Owned by Doctors  Price : 80 lacks FIX and Final , Pls do not Bargain.  Feel free to visit and contact if you want your dream House..!",1516507290
https://www.olx.in/item/home-selling-iid-1517313955," 25,00,000",Gujarat,Vadodara,Kololi,Apartments,2,2,Semi-Furnished,Ready to Move,Owner,1180,875,5,2,3+,300,East,Shree Siddheswar heaven,This property is 2 year old..  And location and space is good..   Both room are same 10x12 with attached bathroom in one room...   Out side of the house there is a space to put cycle and filters. Also gas connection is out side of the home...,1517313955
https://www.olx.in/item/full-new-tips-home-iid-1517313505," 27,50,000",Gujarat,Surat,Krushna Kunj Society,Houses & Villas,2,1,Unfurnished,Under Construction,Owner,12,45,1,104,0,150,East,Akshar park soc Amroli main road surat,Very good home (60 var place) big size homr,1517313505
https://www.olx.in/item/rent-or-sell-iid-1517310329," 40,00,000",Gujarat,Ahmedabad,Arbuda Nagar,Builder Floors,1,1,Semi-Furnished,Ready to Move,Owner,450,450,2,0,0,00,North-West,Hari nandan complex,House cum shop road toch you can make anything House or shop,1517310329
https://www.olx.in/item/1bhk-flat-in-good-condition-iid-1517306927," 11,51,000",Gujarat,Jamnagar,Ranjit Nagar,Apartments,1,1,Semi-Furnished,Ready to Move,Owner,500,500,3,1,0,250,East,Ranjitnagar,"Flat no.2148, block no. G-12 Ranjitanagar",1517306927
https://www.olx.in/item/vrajdham-soc-vadodra-iid-1517306797," 30,00,000",Gujarat,Vadodara,Jambuwa,Houses & Villas,1,1,Unfurnished,Ready to Move,Owner,1577,480,1,0,3,-,East,-,With parking area for upto 3 cars.   Under ground tank of capacity 3000 litre.,1517306797
https://www.olx.in/item/title-clear-iid-1517306584," 27,00,000",Gujarat,Kadodara,Amrut Nagar,Builder Floors,2,1,Furnished,Ready to Move,Owner,800,700,1,1,1,500,East,Shiv dhareswar residency,My office to home long distance.,1517306584
https://www.olx.in/item/opp-o7-club-iid-1517306574," 54,00,000",Gujarat,Ahmedabad,Shela,Apartments,2,2,Unfurnished,Ready to Move,Dealer,1315,700,7,6,1,1700,-,Sopan by Vishwanath builders,Required  3 bhk,1517306574
