URL,Price,State,District,City,Type,Bedrooms,Bathrooms,Furnishing,Status,Listed by,Builtup Area,Carpet Area,Total Floors,Floor No,Car Parking,Maintenance,Facing,Project Name,Description,AD ID
https://www.olx.in/item/2-bhk-flats-for-sale-in-sarjapur-road-bangalore-iid-1513968655," 58,52,775",Karnataka,Bengaluru,Harlur Main Road,Apartments,2,2,Unfurnished,Under Construction,Builder,1163,1163,-,-,-,-,-,-,"2 BHK Flats for Sale in Sarjapur Road, Bangalore",1513968655
https://www.olx.in/item/3bhk-ready-to-move-flat-for-sale-in-hsr-layout-iid-1514333893," 90,00,000",Karnataka,Bengaluru,HSR Layout,Apartments,3,2,Unfurnished,Ready to Move,Builder,1380,1050,4,1,1,1800,West,SHREE NILIYAM,ready to move in hsr layout with all the amenites 100% Vastu good price and good location feal free to call me  seven-eight-two-nine-five-nine-three-nine-three-nine.,1514333893
https://www.olx.in/item/2-bhk-flats-for-sale-in-vbhc-palmhaven-phase-ii-at-kengeri-bangalore-iid-1514550789," 35,92,928",Karnataka,Bengaluru,Kodihalli,Apartments,2,2,Unfurnished,Under Construction,Builder,727,727,-,-,-,-,-,VBHC Palmhaven,"2 BHK Flats for Sale in VBHC Palmhaven Phase II at Kengeri, Bangalore",1514550789
https://www.olx.in/item/2-portion-house-available-for-sale-in-bypass-road-chickmaglur-iid-1517738653," 40,00,000",Karnataka,Chikkamagaluru,Jyothi Nagar,Houses & Villas,4+,4,Semi-Furnished,Ready to Move,Dealer,600,1400,3,-,-,-,North,"Cda Layout, Kalyan Nagar.","Newly Constructed House,  Dimension 20*30,  Ground floor 2 Bedroom House,  First floor 2 Bedroom House,  Near Bus stop, Park and Temple,  Bank Loan Available,  For Visiting Contact Chandru  97404,25316,  94801,22915,",1517738653
https://www.olx.in/item/hose-for-sale-iid-1517738497," 7,50,00,000",Karnataka,Shivamogga,Gopal Gowda,Houses & Villas,3,2,Semi-Furnished,Ready to Move,Owner,1500,1500,1,1,1,0,North-East,-,3BHK with seperate dining area is for sale geninue buyers contact nine eight eight zero two four three four six four,1517738497
https://www.olx.in/item/site-no-52-sy-no-34-abbigere-village-yeshwanthapura-hobli-bangalor-iid-1516640664," 43,28,480",Karnataka,Hubballi,Hallada Oni,Apartments,4,4,Furnished,Ready to Move,Dealer,64979877,65699988,-,-,3,-,South-West,-,"Site No 52 Sy No 34, Abbigere Village, Yeshwanthapura, Hobli, Bangalore North Taluk,Bangalore, Karnataka -560022.",1516640664
https://www.olx.in/item/asst-no929a-site-no05-basthipura-kollegala-kollegala-talu-cham-iid-1516640275," 13,72,950",Karnataka,Chamrajnagar,Chamraj Nafara,Apartments,4,4,Furnished,Ready to Move,Dealer,5448788,6499959,-,-,3,-,South,-,"Asst No.929/A, Site No.05, Basthipura, Kollegala, Kollegala Talu, Chamarjanagar District, Karnataka - 571440. Totall measuring 1218 Sq.Feet.",1516640275
https://www.olx.in/item/site-no-lig-1939b3-krs-nisarga-bad-karnataka-housing-board-layout-l-iid-1516639868," 6,05,880",Karnataka,Mysuru,Madagalli,Apartments,4,4,Furnished,Ready to Move,Dealer,15889,12256556,-,-,3,-,North-West,-,"Site No LIG 1939/b3, KRS Nisarga Bad Karnataka Housing Board Layout, llavala, llavala Hobali, Mysore, Karnataka - 571130.",1516639868
https://www.olx.in/item/2-bhk-flat-for-sale-iid-1508559862," 48,50,000",Karnataka,Bengaluru,Gunjur,Apartments,2,2,Unfurnished,Ready to Move,Builder,1080,846,5,2,1,2000,West,Mystic Nest,"Mystic Nest RERA ID : PR/KN/170831/001555  Mystic Nest, A consistent amalgamation of extravagance, solace, and style mix to give away and uncluttered wide space, Mystic Nest makes you feel blissful right from the moment really modern outlook towards life. These Residential Apartments in Bangalore are wonderfully crafted bearing in mind all your needs. Mystic Nest in Varthur is constructed by a renowned team of builders who always focuses towards delivering the best to its customers. Mystic Nest has gained the name and fame by offering marvelous Apartments in Bangalore with the use of high-class building material that enhances the looks of the property along with increasing its life span. Mystic Nest offers 2 BHK Apartments at one of the prime locality in Bangalore. With proper ventilation you enter in your beautiful Apartments at Varthur. Mystic Nest is one such property in Varthur, Bangalore where luxury comes with affordability and the inhabitants enjoy the perks of living in one of the best localities of town. The Apartments in Mystic Nest are deliberately constructed so as to provide easy access and transportation to other parts of the city by wide roads.  Offered price Includes All, Excludes Registrations Cost  COMMENCEMENT CERTIFICATE NO :- BBMP/ADDL.DIR/JDN/LP/0496/2014-15",1508559862
https://www.olx.in/item/2-bhk-flats-for-sale-iid-1508559413," 48,30,000",Karnataka,Bengaluru,Balagere,Apartments,2,2,Unfurnished,Ready to Move,Builder,1075,860,5,2,1,2000,West,Mystic Nest Apartment,"Mystic Nest RERA ID : PR/KN/170831/001555  Mystic Nest, A consistent amalgamation of extravagance, solace, and style mix to give away and uncluttered wide space, Mystic Nest makes you feel blissful right from the moment really modern outlook towards life. These Residential Apartments in Bangalore are wonderfully crafted bearing in mind all your needs. Mystic Nest in Varthur is constructed by a renowned team of builders who always focuses towards delivering the best to its customers. Mystic Nest has gained the name and fame by offering marvelous Apartments in Bangalore with the use of high-class building material that enhances the looks of the property along with increasing its life span. Mystic Nest offers 2 BHK Apartments at one of the prime locality in Bangalore. With proper ventilation you enter in your beautiful Apartments at Varthur. Mystic Nest is one such property in Varthur, Bangalore where luxury comes with affordability and the inhabitants enjoy the perks of living in one of the best localities of town. The Apartments in Mystic Nest are deliberately constructed so as to provide easy access and transportation to other parts of the city by wide roads.  Offered price Includes All, Excludes Registrations Cost  COMMENCEMENT CERTIFICATE NO :- BBMP/ADDL.DIR/JDN/LP/0496/2014-15",1508559413
