URL,Price,State,District,City,Type,Bedrooms,Bathrooms,Furnishing,Status,Listed by,Builtup Area,Carpet Area,Total Floors,Floor No,Car Parking,Maintenance,Facing,Project Name,Description,AD ID
https://www.olx.in/item/good-house-iid-1515679526," 95,00,000",Kerala,Tirurangadi,Tirurangadi Town,Houses & Villas,4,4,Furnished,New Launch,Owner,1950,3,2,0,1,2,East,-,Argent sell,1515679526
https://www.olx.in/item/house-for-sale-iid-1515616681," 38,00,000",India,Kerala,Peruvallur,Houses & Villas,2,2,Semi-Furnished,Ready to Move,Owner,750,900,1,1,1,0,North,House,"A house near pavaratty, is situated will well, and wall ..one temble church and mosque are very close to this house...",1515616681
https://www.olx.in/item/990-cent-villa-for-sale-at-vengara-town-iid-1513478360," 79,99,999",Kerala,Vengara,Amaripadi Village,Houses & Villas,3,2,Unfurnished,Ready to Move,Owner,4313,4313,2,2,3+,0,South-West,-,"Total Site Area is 9.90 Cents with additional Shop.  - WATER WELL with ample amount of water even in the summer.  - Walkable distance to Schools, Hospital and Market, Bus Stand  - Peaceful environment and people nearby  - Spacious parking for Car (4Cars can be parked)  - Goood amount of trees, at all the four sides keeps you air circulated.  Prices are Negotiable if Interested.  If Interested Kindly contact,   +919751500082  Kindly Add 0 or +91 before the number.",1513478360
https://www.olx.in/item/big-and-beautiful-house-in-55-cent-iid-1513409844," 3,60,00,000",Kerala,Moonniyur,Padikal,Builder Floors,4+,4+,Semi-Furnished,Ready to Move,Owner,6000,5000,2,-,2,-,South-West,-,"The plot is of 55 cent which is located at Super bazar, peruvallor near parambil peedika. It has an attached main road which is only 10km away from the airport and 12 km away from parappanangadi railway station. The plot has a big mansion of 2 floors with 6 spacious master bedrooms with big halls and spacious terrace. The house is only 7 years old and hence looks very fresh and new. The engineer have made quite good interior and exterior designs which makes the house stand out from many nearby houses.",1513409844
https://www.olx.in/item/near-devaki-amma-college-pulliparambu-road-urgent-sale-only-4-buyers-iid-1228604509," 31,00,000",Kerala,Moonniyur,Padikal,Apartments,3,1,Furnished,Ready to Move,Owner,1250,1200,-,-,1,-,North,-,"Near devaki amma college pulliparambu road. Mannur valave 1.5 k/m, feroke 4.5 k/m.  (Ramanattukara 3.5 k/m)  Borewell facility  Electricity facility   14 feet road facility   4.8 cent land  Urgent sale   Call me _81297758two one  9O2O729959 ( only for buyer's )",1228604509
https://www.olx.in/item/10--iid-1512020582," 2,90,000",Kerala,Tirurangadi,Tirurangadi Town,Farm Houses,-,-,-,-,-,10,10,-,-,-,-,-,-, .   ,1512020582
https://www.olx.in/item/njzbbjbnbbvbmkka-iid-1508275255," 10,000",Kerala,Tirurangadi,Kadambi,Houses & Villas,2,2,Unfurnished,Ready to Move,Owner,1200,1200,1,-,0,1000,East,House for sale,8       ,1508275255
https://www.olx.in/item/-iid-1517932453," 8,50,000",Kerala,Kottakal,Changubetty,Houses & Villas,4,1,Furnished,Ready to Move,Owner,1000,1000,1,-,-,-,-,-,Urgent sale,1517932453
https://www.olx.in/item/villas-in-shalom-islands-vatanappally-iid-1507900770," 35,00,000",Kerala,Thrissur,Olari,Houses & Villas,2,2,Furnished,Under Construction,Owner,1013,1013,2,2,1,0,East,Shalom Islands Vatanappally,"Super Luxury Villas in Shalom Islands Vatanappally. Goshenland offers Interest free Installments for Villas for 180 months. Shalom Islands is one of the biggest and most luxurious Villa project in Thrissur with 72 numbers of 2, 3 and 4 BHK Villas in 12 Acres of Land   Features Includes  Fully furnished Villas including Movable Furniture  Speed Boating  Fishing Point  Swimming Pool  Lake side Jogging Track  Children's Park  Club House with Billiards Table  Fitness Center  Convention Center  Shuttle Court  Tennis Court  Free Transportation   24 Hours Solar Powered Electricity Back up  Live web Telecasting of working in Progress  24 Hours Security   Life Time Zero Monthly Maintenance  Distance from Major Towns of Thrissur District  Thrissur City 15 KMs  Kunnamkulam 20 Kms  Guruvayoor 13 Kms  Chavakad 10 Kms  Kodungallore 30 Kms  Irinjalakuda 28 Kms  NH 17 1.5 KMs  Villas  can be occupied in 18 months from the date of booking.",1507900770
https://www.olx.in/item/2bhk-970-sqft-ayyanthole-thrissur-365-lc-iid-1514668735," 36,50,000",Kerala,Thrissur,Ayyanthole,Apartments,2,2,Semi-Furnished,Ready to Move,Dealer,1150,1100,2,-,1,-,East,-,"2 BHK  (all attached) G+2 flat  having 1100 SqFt available near Ayyanthole,Thrissur . car parking facility prevails  Quoted Price  36.5lakhs   Apartment features: Good society, , Open well, Corporation water supply, Backup generator, Solid & Liquid waste management system, Sewage plant etc  Places in Vicinity: Thrissur Collectorate, Law College, Amirtha CBSE School, NSS English Medium School, Collector bungalow, Supermarket, Lulu Convention Centre, Bank & ATMs of all major Banks, Mother Hospital, Worship places of all religions.  Expecting Price   36.5lc(negotiable)  For Professional assistance and for Better Deals contact GODs OWN Properties Pvt. Ltd",1514668735
