URL,Price,State,District,City,Type,Bedrooms,Bathrooms,Furnishing,Status,Listed by,Builtup Area,Carpet Area,Total Floors,Floor No,Car Parking,Maintenance,Facing,Project Name,Description,AD ID
https://www.olx.in/item/3-bhk-villa-duplex-villa-a-1000-and-bu-1700-omaxe-hills-iid-1274543355," 42,00,000",Madhya Pradesh,Indore,Rajendra Nagar,Houses & Villas,3,3,Unfurnished,Ready to Move,Dealer,1000,1700,2,-,1,500,West,-,"A 3 bhk property is available for sale in Omaxe Hills, Machla, Indore. Plot Area-1000sq.ft and Built up-1700.This is the West facing property.The house is unfurnished. It has 24 x 7 security as well as club house. The project also has landscaped gardens, children's play area, power backup, sports facility, intercom, jogging track and indoor games. It has 3 bathrooms and 1 balcony. It is situated in the proximity of all the important facilities.",1274543355
https://www.olx.in/item/omaxe-hills-2bhk-simplex-villa1163-sqft-iid-1241128817," 37,00,000",Madhya Pradesh,Indore,Rajendra Nagar,Houses & Villas,2,2,Unfurnished,Under Construction,Owner,1163,1000,1,-,1,-,-,-,Booking open for new construction simplex 2 bedroom hall kitchen spacious simplex Villa in good location in Omaxe Hills. The Township with a difference and a Colony with all amenities like club house swimming pool all inside at one place and this is very Close to Indore main City wherein MR-3 is connecting soon. Commercial Market being built inside the township. Nearby many Famous Schools and Colleges.,1241128817
https://www.olx.in/item/its-a-newly-construction-villa-which-is-located-in-sudama-nagar-d-sec-iid-1518177351," 1,00,00,000",Madhya Pradesh,Indore,Sudama Nagar,Houses & Villas,3,3,Furnished,Ready to Move,Owner,1550,1500,-,-,2,-,South,-,200 meters from the main road,1518177351
https://www.olx.in/item/for-sail-saile-iid-1518036989," 41,75,000",Madhya Pradesh,Rau,Silicon City,Houses & Villas,2,2,Semi-Furnished,Ready to Move,Owner,1155,750,2,-,1,00,West,Plot no 177 silicon city near culb house,4175000 my business,1518036989
https://www.olx.in/item/super-gar-very-nice-iid-1518022215," 20,00,000",Madhya Pradesh,Indore,Hukum Chand Colony,Houses & Villas,4,4,Furnished,New Launch,Builder,96,99,96,96,1,1999,South,Raj nagar,Very Nice gar,1518022215
https://www.olx.in/item/2bhk-fabulous-flat-near-tcs-indore-facing-indore-airport-iid-1517967097," 19,19,000",Madhya Pradesh,Indore,Kalani Nagar,Apartments,2,2,Unfurnished,Under Construction,Builder,853,609,8,1,1,853,North-East,Victoria Urbane Oasis,"2BHK Fabulous Flat Near TCS Indore, Facing Indore Airport  Construction Area 853 Sqft  Build Up Area 609 Sqft  Rent 19.19Lac Onwards  Highest Building Nearest To Indore Airport   With all amenities like Covered Campus, Lift, Three Levels of Security, Parking, Play Area, Power Backup Lobbies & Lifts etc.  Ample of water  Two Kilometres from TCS & Infosys.  Shops, Atm, Bus, School Medical and Grocery Store are at vicinity.  Call us for more details and site visit.",1517967097
https://www.olx.in/item/top-location-pagnispaga-full-furnished-2-ac-kitchen-modular-etc-iid-1517876806," 35,00,000",Madhya Pradesh,Indore,Krishi Mandi,Apartments,3,2,Furnished,Under Construction,Dealer,1250,1000,5,4,1,1000,West,none,1 floor apt.,1517876806
https://www.olx.in/item/plot-size-1060-semi-furnished-indipendent-house-iid-1517814722," 40,00,000",Madhya Pradesh,Indore,Nai Duniya,Houses & Villas,4,3,Semi-Furnished,Ready to Move,Owner,990,600,2,-,0,-,West,-,independent duplex,1517814722
https://www.olx.in/item/best-location-best-collony-iid-1517800656," 25,00,000",Madhya Pradesh,Indore,Kalani Nagar,Houses & Villas,2,2,Furnished,Ready to Move,Owner,800,800,1,1,1,00,East,25/2      ,"   ,   ,    ,        TCS   08 km   , airport  01 km   ",1517800656
https://www.olx.in/item/ready-to-move-home-but-need-of-renovation-from-outside-iid-1517795000," 52,00,000",Madhya Pradesh,Indore,Saifi Nagar,Houses & Villas,4+,2,Semi-Furnished,Ready to Move,Owner,750,650,1,1,1,0,-,-,My home need some renovation but it is built verystrongly and i want sell this as soon as possible,1517795000
https://www.olx.in/item/sell-my-house-plot-size-1050-double-storey-house-iid-1517786973," 26,50,000",Madhya Pradesh,Rau,Silicon City,Houses & Villas,2,2,Semi-Furnished,Ready to Move,Owner,500,500,2,0,0,0,West,Tarun,New house purchase at indore,1517786973
https://www.olx.in/item/want-to-sell-good-condition-bunglow-negotiable-iid-1517767444," 26,00,000",Madhya Pradesh,Indore,Ahirkhedi,Houses & Villas,2,2,Semi-Furnished,Ready to Move,Owner,1000,500,1,1,0,-,East,-,"Selling 2 bhk bunglow with own water bor, good condition & well maintained. Registered bunglow, Clear documents, Negotiable!!   Address - home no 51, kundan nagar extension, hawa bungla, indore.   Contact - 9922327775",1517767444
https://www.olx.in/item/1bhk-flat-for-sale-in-silicon-cityrau-indore-iid-1517674581," 17,00,000",Madhya Pradesh,Rau,Silicon City,Apartments,1,1,Furnished,New Launch,Owner,639,457,639,1,1,500,North,Shree Ram Heights,"1BHK Flat for sale in Shree Ram Heights, Silicon City,Rau ,Indore",1517674581
https://www.olx.in/item/for-sell-banglow-iid-1517668712," 81,00,000",Madhya Pradesh,Indore,Pre Conco Colony,Houses & Villas,4,4,Unfurnished,Under Construction,Builder,1950,1950,2,1,2,0,West,Vishal holkar,97part 4 vip paraspar near ryan school,1517668712
