URL,Price,State,District,City,Type,Bedrooms,Bathrooms,Furnishing,Status,Listed by,Builtup Area,Carpet Area,Total Floors,Floor No,Car Parking,Maintenance,Facing,Project Name,Description,AD ID
https://www.olx.in/item/3-bhk-home-for-sale-iid-1507140785," 32,05,000",Punjab,Amritsar,Mahal,Houses & Villas,3,3,Furnished,Ready to Move,Owner,954,954,-,-,-,-,-,-,3 bhk home in new pal  Avenue Ram Tirath road amritsar   3 bathrooms furnished with jaquar accessories   Kitchen   Nd other facilities   Call us   8OOOOO4242  GAURAV Arora,1507140785
https://www.olx.in/item/2-bhk-home-available-for-sale-in-krishna-garden-iid-1513563381," 27,00,000",Punjab,Amritsar,Chheharta,Houses & Villas,2,3,Furnished,Under Construction,Owner,1143,1143,-,-,-,-,-,-,2 bhk home with modern elevation   3 bathrooms furnished with jaquar accessories   Kitchen  Lobby   Drawing room   Duct  Car parking space available   Krishna garden khandwala chownk chheharta amritsar   Give us a call to schedule an appointment   8000004242  GAURAV Arora,1513563381
https://www.olx.in/item/stunning-house-for-sale-iid-1513399767," 23,00,000",Punjab,Amritsar,Mahal,Houses & Villas,2,3,Furnished,Under Construction,Owner,1080,1080,-,-,-,-,-,-,U will love this stunning 2 bhk house located in sunny enclave Ram Tirath road amritsar   3 bathrooms   Italian kitchen   Give us a call to schedule an appointment   8000004242  GAURAV Arora,1513399767
https://www.olx.in/item/newly-build-house-iid-1517738258," 45,00,000",Punjab,Amritsar,Mahal,Houses & Villas,3,3,Semi-Furnished,Under Construction,Owner,1250,1600,2,-,1,-,-,-,"140 yard newly build House in Anmol Enclave phase 2 ,Ramtirth Road , Amritsar.  All documents clear.  Housing loan available.  House designed with best latest elevations.  3 bedrooms with attached bathrooms and 1 drawing room with latest design of down ceilings .  Italian kitchen with wooden work.  Car parking space available.  All Branded fittings .  COLONY SPECIFICATIONS :-  Sewage done.  Boundary wall done .  Wide roads .  Green and beautiful parks .  A fully residential colony to live .   A calm atmosphere to live .  Green belt with plantation.  Payment can be paid in 6 months.   For more information :-  Contact :-Rohan Realtech  7508333932",1517738258
https://www.olx.in/item/book-your-own-home-starting-at-14-lacs-onwards-iid-1516640702," 14,08,001",Punjab,Zirakpur,Ambala Chandigarh Expressway,Houses & Villas,3,3,Unfurnished,Under Construction,Builder,1925,1250,-,-,-,-,-,Royale Gardens Premium,"Now book ur dream home with best prices in tricity Secure Walled Community 24 Hour Power Backup Gated Entry Complex Purified Water Supply Club House Swimming Pool Banquet Hall Gymnasium Concrete Road Solar Street Light WiFi-Zone Lush Green Theme Parks CCTV Surveillance Kids Playing Area Underground Electric Wiring  Jogging Tracks  Primary School  Sports Court  Avail Subsidy up-to Rs. 2.67 Lac Under PMAY  Special Rate for Defense / Para-Military Forces  Up-to 100% saving on stamp duty for first 30 clients  Daily Need Shopping Complex  100 % Registered Lands in township  RERA registered GMADA approved  Just Pay 5%, NO EMI, NO Interest Till offer of possession. call directly to builder",1516640702
https://www.olx.in/item/3-bhk-home-for-sale-iid-1516641161," 24,00,000",Punjab,Amritsar,Mahal,Houses & Villas,3,4,Furnished,Under Construction,Owner,1080,1080,-,-,-,-,-,-,Beautiful home for sale in new pal Avenue Ram Tirath road amritsar   28 ft wide internal road   Call us on 8000004242  GAURAV Arora,1516641161
https://www.olx.in/item/urgent-sale120-gaj-double-story-corner-kothi-in-shivalik-vihar-kothi-f-iid-1517737357," 62,00,000",Punjab,Zirakpur,Patiala Road,Houses & Villas,4,4,Semi-Furnished,Ready to Move,Dealer,1080,1000,2,1,2,0,East,shivalik vihar,Newly build Ready to move 100 Gaj Independent kothi for sale in Shivalik Vihar  at just 40 Lacs  Features:  1) Two bedrooms with attached  washrooms (wall to wall woodwork in both bedrooms) in Ground floor .  2) Two Bathrooms (with branded fittings)  3) Modular kitchen with channels.  4) Two Bedroom With Attached washroom modular kitchen in first floor.  5) Property is located at prime  location(just 1 km mtrs from  highway)  6) MC Water supply  7) Led pannel in drawing room .  8) Vitrified tiles flooring .  9) Designing and map from  professional architect  10) Shops Schools Play school all in just 200 mtrs distnce.  11) Parking space is also available in  the house.  12)LED lights.  13) Fall Celling.  Registry case  85% loan facility (T&C* Condition apply)  We also provide loan within 15 days from Nationalized and private Banks (T&C* Condition apply)  For more Details feel free to call  Gurwinder Saini  nine six four six seven seven zero zero eight seven  Birender kalra  seven six nine six zero zero one nine nine one,1517737357
https://www.olx.in/item/flat-for-sale-in-baltananearest-zirkpur-iid-1517736967," 13,00,000",Punjab,Zirakpur,Saini Vihar Phase 4,Builder Floors,2,1,Unfurnished,Ready to Move,Owner,450,400,2,2,-,-,-,-,A 2 marla flat for sale in baltana,1517736967
https://www.olx.in/item/booking-just-pay-11000-honda-activa-free-every-booking-iid-1517736935," 29,88,000",Punjab,Zirakpur,Patiala Road,Houses & Villas,3,3,Semi-Furnished,Under Construction,Builder,1440,1260,2,1,2,0,North-East,ROYALE GARDENS PREMIUM,"20,000 SALARY WALA BHI LE SAKTE HA AAPNA GHAR  80%BANK LOAN AVAILABLE  17 ACRES TOWNSHIP  WIFI ZONE  PURIFIED WATER SUPPLY  GAS PIPE LINE  GAMADA RERA APPROVED",1517736935
https://www.olx.in/item/3bhk-1755-sqyd-for-sale-in-most-prime-sector-91-mohali-iid-1515489712," 69,90,000",Punjab,Mohali,Sector 91,Apartments,3,3,Semi-Furnished,Ready to Move,Builder,1755,1400,13,7,1,1500,North-West,Home Brothers - Emerald Court,"Home Brothers- Your Dream's Our Destination's  Acme Emerald Court - Live The Grand Life  3BHK Highrise Apartment .  Location Advantages:-  >Best Medical Facilities - Fortis, IVY, Max  >Best Education Institutes Nearby  >International Airport Road in Mohali  >Proposed Golf Course & Near IT Hub  >Low Density Sector with Wide Roads  >Adjoining International Airport Road  >Designed By The Arch Group, Dubai  >Club House Built in 10,000 Sq. Ft  >G+13 Floors with Fittings From International Brand & Quality Finishes  >200 Acre proposed Golf course with lake  >Possession July onwards  RERA Number - PBRERA-SAS79-REA1198  For More query and site visit contact us soon!! 7087x0011x82",1515489712
https://www.olx.in/item/1-bhk-in-sbp-north-valley-iid-1129676551," 17,00,500",Punjab,Mohali,Sector 127,Apartments,1,1,Furnished,Ready to Move,Dealer,774,704,-,-,1,-,East,98I54O72O3,"1 BHk in Sbp North Valley on kharar landran road,",1129676551
https://www.olx.in/item/ready-to-move-flat-at-sector-127-available-at-just-1490-lcs-iid-1517736034," 14,90,000",Punjab,Mohali,Sector 127,Apartments,1,1,Semi-Furnished,Ready to Move,Builder,650,550,2,1,1,-,North,luxury floors,"A north  facing 1 bhk  flat is available in the promising locality of Sector 127-, Mohali. It is a ready to move in spacious flat and is located on the first  floor. Every single detail of the flat is carefully designed. It is a gated society flat. It provides a spectacular view of the main road. The apartment is priced at Rs. 1490000 . It is a freehold property, with a super built-up area of 65 Sq. Yards. It has 1 bathroom(s). The flat comprises of 2 balcony(s) and has vitrified flooring. 0 covered parking and 1 open parking. 24x7 water supply from Municipal corporation.  It is on chandigarh road and adjoining Gillco main market.",1517736034
https://www.olx.in/item/3bhk-luxury-apartment-golf-course-facing-iid-1508174979," 71,00,000",Punjab,Mohali,Sector 91,Apartments,3,3,Furnished,Ready to Move,Dealer,1755,1400,13,6,1,1500,North,Home Brothers - Emerald court-91,"Acme Emerald Court - Live The Grand Life  3BHK Highrise Apartment .  Location Advantages:-  >Best Medical Facilities - Fortis, IVY, Max  >Best Education Institutes Nearby  >International Airport Road in Mohali  >Proposed Golf Course & Near IT Hub  >Low Density Sector with Wide Roads  >Adjoining International Airport Road  >Designed By The Arch Group, Dubai  >Club House Built in 10,000 Sq. Ft  >G+13 Floors with Fittings From International Brand & Quality Finishes  >200 Acre proposed Golf course with lake  >Possession July onwards   For More query and site visit contact us soon!! 7087x0011x82",1508174979
https://www.olx.in/item/house-for-sale-at-shivalik-city-kharar-sector-127-iid-1517735633," 75,00,000",Punjab,Kharar,Shivalik City,Houses & Villas,2,2,Semi-Furnished,Ready to Move,Owner,1350,1350,-,-,-,-,-,-,Duplex house at 45 foot road in shivalik city khara near children park is available for sale.plot size 150syd,1517735633
https://www.olx.in/item/150-gaze-kothi-gurdarshan-nagar-28-from-feet-road-981428one570-iid-1517735215," 54,00,000",Punjab,Patiala,PSEB Power Colony,Houses & Villas,4,3,Furnished,Ready to Move,Owner,2400,2350,2,12,2,0,South-East,150gaze gurdarshan nagar near Majithia Totally downceiling,150 gaze kothi gurdarshan nagar Map passed. Electricity Water sewerage connected Near to main road Near to market 9814two 8 one 570,1517735215
https://www.olx.in/item/newly-built-house-iid-1517734786," 36,00,000",Punjab,Hoshiarpur,Roop Nagar,Houses & Villas,4,4,Unfurnished,Ready to Move,Owner,900,800,2,1,1,1000,South,New house,I wanna sell my newly built house in maharaja ranjit singh nagar near iti college its a neat n clean area (eight one nine eight double zero two triplle four),1517734786
