URL,Price,State,District,City,Type,Bedrooms,Bathrooms,Furnishing,Status,Listed by,Builtup Area,Carpet Area,Total Floors,Floor No,Car Parking,Maintenance,Facing,Project Name,Description,AD ID
https://www.olx.in/item/big-1555-sqft-ready-to-move-flat-at-topobon-iid-1513192867," 28,00,000",West Bengal,Durgapur,Bamunara,Apartments,3,2,Semi-Furnished,Ready to Move,Builder,1555,1230,11,4,-,1200,South-East,Arauank Devlopers,Its 1555 sqft 3bhk flat at topobon city durhapur near muchipara .its a big flats in durgapur .its a complex type flats at topobon ..  All aminitis in this project like   Swingming pool   Jim   Comercial  Cap service  Lake   Community hall   Clup   Doctor chember   Call nine five six four three nine there one two three ...,1513192867
https://www.olx.in/item/cheapest-price-in-durgapur-iid-1504470156," 12,19,928",West Bengal,Durgapur,Bamunara,Apartments,2,2,Semi-Furnished,Under Construction,Builder,872,698,11,4,1,610,South-East,Balaji Apartment,"2 BHK Flat in prime location with all facilities like club house, DG back up garden facing etc.",1504470156
https://www.olx.in/item/ready-to-move-flats-at-topobon-city-near-muchipara-iid-1504311529," 13,20,000",West Bengal,Durgapur,Bamunara,Apartments,2,2,Semi-Furnished,Ready to Move,Builder,800,600,11,6,-,700,South-West,Topobon city,"It's a complex type project at Tapabon City near Muchipara ,ready to move flats are available",1504311529
https://www.olx.in/item/urgent-flat-sell-iid-1517591412," 7,90,000",West Bengal,Durgapur MC,Gopalpur,Apartments,1,1,Unfurnished,Ready to Move,Owner,490,430,6,3,0,780,South-East,Keshob kanon,One bhk flat,1517591412
https://www.olx.in/item/2-bhk-apartment-with-all-amenities-sell-in-bamunara-iid-1517322323," 13,41,250",West Bengal,Durgapur,Bamunara,Apartments,2,2,Unfurnished,Ready to Move,Builder,925,749,11,6,1,-,South,Green City,"2 bhk apartment sell in Bamunara near Muchipara.  Amenities - 24 Hrs water supplyed, hi speed morden elevator, 24 Hrs.Secruty service, coverd and open car parking facilities, 24 Hrs power backup fecilities.  Location - bus stand, auto stand 1 min Distance, ATM 5 min",1517322323
https://www.olx.in/item/praytee-housing-complex-iid-1517003521," 19,00,000",West Bengal,Durgapur,Muchipara,Apartments,2,2,Unfurnished,Ready to Move,Owner,1025,925,8,5,0,1000,South-East,pratyee Housing complex.   Durgapur Benachity..,i wnat to sell my flat due to some family reason...,1517003521
https://www.olx.in/item/3bhk-high-income-gp-flat-with-all-fixtures-on-sale-for-distress-sale-iid-1516878322," 35,00,000",West Bengal,Durgapur,Muchipara,Apartments,3,2,Semi-Furnished,Ready to Move,Owner,1390,1042,6,6,1,800,North,Tanvee housing Society,"3BHK with balcony and car parking with all internal fittings, Modular Kitchen, Wooden Cabinets in all rooms, Grill work. Area 1390 Sq ft",1516878322
https://www.olx.in/item/ready-to-move-3bhk-flats-at-topobon-iid-1516851032," 21,50,000",West Bengal,Durgapur,Bamunara,Apartments,3,2,Semi-Furnished,Ready to Move,Builder,1200,1000,11,4,-,970,South-West,Arayank,Its ready to move flats at topobon city near muchipara ..its complex type project   Call nine five six four three nine three one two three,1516851032
https://www.olx.in/item/2-bhk-apartment-with-all-amenities-sell-in-bamunara-iid-1516186038," 17,00,000",West Bengal,Durgapur,Bamunara,Apartments,2,2,Unfurnished,Ready to Move,Builder,1025,820,7,5,1,-,South,-,"2 bhk apartment sell in Bamunara  Amenities and facilities  1 - 24 Hrs water supplyed  2 - 24 Hrs power backup  3 - 24 Hrs security service  4 - hi speed Elevators  Location-busstand, autostand 1 min walking distance, ATM 5 min, Durgapur station 4.50 km",1516186038
https://www.olx.in/item/gopalpur-uttarpara-iid-1516134525," 25,00,000",West Bengal,Durgapur,Gopalpur Uttarpara,Houses & Villas,3,1,Unfurnished,Ready to Move,Owner,1100,4,-,-,1,-,-,-,Manie probalm,1516134525
